country,iso3,loc_id,total_population_2022,adult_population_estimated,adult_ratio_used,latitude,longitude
Afghanistan,AFG,4,43844000,28498600,0.65,33.000000,65.000000
Albania,ALB,8,2363314,1536154,0.65,41.000000,20.000000
Algeria,DZA,12,47400000,30810000,0.65,28.000000,3.000000
American Samoa,ASM,16,49710,32312,0.65,-14.333333,-170.000000
Andorra,AND,20,88406,57464,0.65,42.500000,1.500000
Angola,AGO,24,36170961,23511125,0.65,-12.500000,18.500000
Anguilla,AIA,660,16010,10406,0.65,18.250000,-63.166667
Antigua and Barbuda,ATG,28,103603,67342,0.65,17.050000,-61.800000
Argentina,ARG,32,46735004,30377753,0.65,-34.000000,-64.000000
Armenia,ARM,51,3076200,1999530,0.65,40.000000,45.000000
Aruba,ABW,533,107566,69918,0.65,12.500000,-69.966667
Australia,AUS,36,27536874,17898968,0.65,-27.000000,133.000000
Austria,AUT,40,9200931,5980605,0.65,47.333333,13.333333
Azerbaijan,AZE,31,10241722,6657119,0.65,40.500000,47.500000
Bahamas,BHS,44,398165,258807,0.65,25.034300,-77.396300
Bahrain,BHR,48,1594654,1036525,0.65,26.000000,50.550000
Bangladesh,BGD,50,169828911,110388792,0.65,24.000000,90.000000
Barbados,BRB,52,267800,174070,0.65,13.166667,-59.533333
Belarus,BLR,112,9109280,5921032,0.65,53.000000,28.000000
Belgium,BEL,56,11825551,7686608,0.65,50.833333,4.000000
Belize,BLZ,84,417634,271462,0.65,17.250000,-88.750000
Benin,BEN,204,13224860,8596159,0.65,9.500000,2.250000
Bermuda,BMU,60,64055,41636,0.65,32.333333,-64.750000
Bhutan,BTN,64,784043,509628,0.65,27.500000,90.500000
Bolivia (Plurinational State of),BOL,68,11365333,7387466,0.65,-17.000000,-65.000000
"Bonaire, Sint Eustatius and Saba",BES,535,31980,20787,0.65,12.180000,-68.250000
Bosnia and Herzegovina,BIH,70,3422000,2224300,0.65,44.000000,18.000000
Botswana,BWA,72,2359609,1533746,0.65,-22.000000,24.000000
Brazil,BRA,76,213421037,138723674,0.65,-10.000000,-55.000000
