feature_name,feature_type,country,ocean,population,latitude,longitude
Unknown River,River,Botswana,,0,-20.309891980489365,23.048996909842103
Unknown River,River,Tanzania,,0,-7.133465551620387,32.62319717092186
Unknown River,River,Mozambique,,0,-15.783786464961413,38.458826406314515
Unknown River,River,Zambia,,0,-14.242053375870354,24.799363099552
Unknown River,River,Angola,,0,-15.582469980253054,19.200609668568426
Unknown River,River,Cameroon,,0,6.357710480002358,12.919620080569382
Unknown River,River,Cameroon,,0,6.212692017135951,13.33327064048022
Unknown River,River,Mali,,0,10.868664196848874,-6.427985902143016
Unknown River,River,Nigeria,,0,12.086654353300725,9.141228901355559
Unknown River,River,Morocco,,0,30.434449256957265,-9.084386269431496
Unknown River,River,Morocco,,0,32.68106107235022,-6.84852580156553
Unknown River,River,Bolivia,,0,-15.26606594584822,-63.234314981293835
Unknown River,River,Brazil,,0,-5.046753102436049,-64.3749675569874
Unknown River,River,Sri Lanka,,0,7.203764260536067,81.46739860735364
Unknown River,River,Sri Lanka,,0,7.2082936733739595,81.55162079761382
Unknown River,River,China,,0,32.84569162717237,111.44847740176586
Unknown River,River,China,,0,33.50216349289111,110.57383126225928
Unknown River,River,Cambodia,,0,12.795890092053792,104.15951111904553
Unknown River,River,Cambodia,,0,12.015259584428902,104.79596601608888
Unknown River,River,Madagascar,,0,-17.497596303649487,48.51913416049418
Unknown River,River,Madagascar,,0,-17.56749590369042,48.697115297740496
Unknown River,River,Brazil,,0,-18.464335305499322,-50.054484817367026
Unknown River,River,Brazil,,0,-17.386025773745917,-49.91624230852136
Unknown River,River,Colombia,,0,5.9680601229380255,-75.68114429698599
Unknown River,River,Venezuela,,0,8.896378363525475,-72.7015159214569
Unknown River,River,Venezuela,,0,8.625602020932908,-67.93790021684393
Unknown River,River,Venezuela,,0,6.293142124446607,-64.64402338202756
Unknown River,River,Brazil,,0,0.6918082252641025,-69.4221389635988
Unknown River,River,Peru,,0,-2.783042095672886,-77.17240570342203
Unknown River,River,Brazil,,0,-7.4010949205062815,-60.611443598082005
Unknown River,River,Brazil,,0,-12.542881576167758,-57.894034227324624
Unknown River,River,Brazil,,0,-1.7067992868190893,-63.167431268275045
Unknown River,River,Colombia,,0,0.35961081656789035,-71.71028414264488
Unknown River,River,Brazil,,0,-4.266605964079676,-68.0702001182942
Unknown River,River,Brazil,,0,-13.425647015883449,-51.454334371786395
