feature_name,feature_type,country,population,latitude,longitude
Tokyo,City,Japan,35676000,35.6869628,139.7494616
New York,City,United States of America,19040000,40.72156174972766,-73.99571754361698
Mexico City,City,Mexico,19028000,19.4443883,-99.1329341
Mumbai,City,India,18978000,19.06840847529168,72.8758393972653
São Paulo,City,Brazil,18845000,-23.5567337,-46.6269658
Delhi,City,India,15926000,28.6719388,77.2280582
Shanghai,City,China,14987000,31.2183983,121.4345588
Kolkata,City,India,14787000,22.569578883795778,88.36912550443886
Dhaka,City,Bangladesh,12797394,23.7250056,90.4066336
Buenos Aires,City,Argentina,12795000,-34.61071459139255,-58.43251268766426
Los Angeles,City,United States of America,12500000,34.049219260337075,-118.23198647223317
Karachi,City,Pakistan,12130000,24.8719381,66.9880631
Cairo,City,Egypt,11893000,30.0519062,31.2480224
Rio de Janeiro,City,Brazil,11748000,-22.907308056882364,-43.212117466834385
Ōsaka,City,Japan,11294000,34.691095244477914,135.50375419006232
Beijing,City,China,11106000,39.901720309862675,116.39420089260611
Manila,City,Philippines,11100000,14.6061048,120.9802713
Moscow,City,Russia,10452000,55.75411,37.613577
Istanbul,City,Turkey,10061000,41.01760173507249,28.97427681675554
Paris,City,France,9904000,48.85809231626911,2.3529924615392135
Seoul,City,South Korea,9796000,37.568295,126.9977851
Lagos,City,Nigeria,9466000,6.4452075,3.3895852
Jakarta,City,Indonesia,9125000,-6.1724718,106.8274918
Chicago,City,United States of America,8990000,41.847961283364114,-87.63523655322338
Guangzhou,City,China,8829000,23.12472343296695,113.26178516712943
London,City,United Kingdom,8567000,51.5019406,-0.1186677
Lima,City,Peru,8012000,-12.0460668,-77.052008
Tehran,City,Iran,7873000,35.6738886,51.4223982
Kinshasa,City,Dem. Rep. Congo,7843000,-4.3277782,15.313026
Bogota,City,Colombia,7772000,4.5983694,-74.0852898
Shenzhen,City,China,7581000,22.54809707412332,114.06115351896277
Wuhan,City,China,7243000,30.5819772,114.2680712
Hong Kong,City,Hong Kong,7206000,22.3069268,114.1830635
Tianjin,City,China,7180000,39.08277176197969,117.19660728208831
Chennai,City,India,7163000,13.0919337,80.2780529
Taipei,City,Taiwan,6900273,25.0358333,121.5683333
Bengaluru,City,India,6787000,12.971941,77.5580639
Bangkok,City,Thailand,6704000,13.7519451,100.5146988
Lahore,City,Pakistan,6577000,31.5619174,74.3480789
Chongqing,City,China,6461000,29.5669229,106.5930358
Hyderabad,City,India,6376000,17.401929,78.4780077
Amaravati,City,India,5800000,16.533657954485985,80.52432001010749
Santiago,City,Chile,5720000,-33.44020506918074,-70.65050407285783
Miami,City,United States of America,5585000,25.7895566,-80.2260519
Belo Horizonte,City,Brazil,5575000,-19.9130802,-43.9169504
Madrid,City,Spain,5567000,40.4019721,-3.6852975
Philadelphia,City,United States of America,5492000,39.94594243742075,-75.1798412402816
Ahmedabad,City,India,5375000,23.0319988,72.5780578
Ho Chi Minh City,City,Vietnam,5314000,10.762124565177512,106.70298470218748
Toronto,City,Canada,5213000,43.66464454743429,-79.38945855491194
Singapore,City,Singapore,5183700,1.2949793,103.8538748
Luanda,City,Angola,5172900,-8.8363403,13.2324812
Baghdad,City,Iraq,5054000,33.3405944,44.3919229
Barcelona,City,Spain,4920000,41.3852454,2.1814245
Haora,City,India,4841638,22.584697601843814,88.31851641697797
Dallas,City,United States of America,4798000,32.771958135439206,-96.79468722529398
Shenyeng,City,China,4787000,41.8069251,123.4480277
Khartoum,City,Sudan,4754000,15.5900241,32.5322334
Pune,City,India,4672000,18.516394229926586,73.85189174674915
Sydney,City,Australia,4630000,-33.87137339218338,151.2125477744749
St.  Petersburg,City,Russia,4553000,59.9409604,30.3140742
Chattogram,City,Bangladesh,4529000,22.3319381,91.7980215
Dongguan,City,China,4528000,23.02153738850798,113.75047406547746
Atlanta,City,United States of America,4506000,33.73945728378348,-84.36764186571386
Boston,City,United States of America,4467000,42.331906,-71.0719595
Riyadh,City,Saudi Arabia,4465000,24.634497474837755,46.720487024887696
Houston,City,United States of America,4459000,29.741272831862542,-95.34843625672217
Hanoi,City,Vietnam,4378000,21.0352731,105.8480683
"Washington,  D.C.",City,United States of America,4338000,38.9014952,-77.0113644
Guadalajara,City,Mexico,4198000,20.671962,-103.3319801
Melbourne,City,Australia,4170000,-37.8180855,144.9730704
Alexandria,City,Egypt,4165000,31.2019652,29.94805
Chengdu,City,China,4123000,30.6719459,104.0680736
Detroit,City,United States of America,4101000,42.33355800559568,-83.05133408216001
Yangon,City,Myanmar,4088000,16.7853,96.1647318
Xian,City,China,4009000,34.2769713,108.8930504
Porto Alegre,City,Brazil,3917000,-30.0480688,-51.2019579
New Taipei,City,Taiwan,3893740,25.0127778,121.465
Surat,City,India,3842000,21.2019296,72.8380936
Hechi,City,China,3830000,24.695252134251945,108.08299950401414
Abidjan,City,Côte d'Ivoire,3802000,5.3231260722445715,-4.020206835187587
Brasília,City,Brazil,3716996,-15.7813944,-47.9179981
