nodes,power_mode,visible,selected_frame,requested_demods,allocated_demods,power_consumption_watts,charging_power_watts,discharging_power_watts,net_power_watts,battery_percent,charging,mode_label,decoded_payloads,tracked_txs,decoded_bytes,collided
0,sleep,True,45063,10,0,5.0,0.0,0.0,0.0,100.0,False,Baseline,0.0,0.0,0.0,0.0
0,sleep,True,45063,30,0,5.0,0.0,0.0,0.0,100.0,False,Baseline,0.0,0.0,0.0,0.0
0,sleep,True,45063,50,0,5.0,0.0,0.0,0.0,100.0,False,Baseline,0.0,0.0,0.0,0.0
0,sleep,True,45063,70,0,5.0,0.0,0.0,0.0,100.0,False,Baseline,0.0,0.0,0.0,0.0
0,sleep,True,45063,100,0,5.0,0.0,0.0,0.0,100.0,False,Baseline,0.0,0.0,0.0,0.0
0,sleep,True,45063,300,0,5.0,0.0,0.0,0.0,100.0,False,Baseline,0.0,0.0,0.0,0.0
0,sleep,True,45063,500,0,5.0,0.0,0.0,0.0,100.0,False,Baseline,0.0,0.0,0.0,0.0
0,sleep,True,45063,700,0,5.0,0.0,0.0,0.0,100.0,False,Baseline,0.0,0.0,0.0,0.0
0,sleep,True,45063,1000,0,5.0,0.0,0.0,0.0,100.0,False,Baseline,0.0,0.0,0.0,0.0
2,idle,True,45063,10,10,6.22,0.0,0.0,0.0,100.0,False,Baseline,2.0,2.0,40.0,0.0
2,idle,True,45063,30,30,8.62,0.0,0.0,0.0,100.0,False,Baseline,2.0,2.0,40.0,0.0
2,idle,True,45063,50,50,11.02,0.0,0.0,0.0,100.0,False,Baseline,2.0,2.0,40.0,0.0
2,idle,True,45063,70,70,13.42,0.0,0.0,0.0,100.0,False,Baseline,2.0,2.0,40.0,0.0
2,idle,True,45063,100,100,17.02,0.0,0.0,0.0,100.0,False,Baseline,2.0,2.0,40.0,0.0
2,busy,True,45063,300,300,80.1375,0.0,0.0,0.0,100.0,False,Baseline,2.0,2.0,40.0,0.0
2,busy,True,45063,500,500,130.13750000000002,0.0,44.63750000000002,-44.63750000000002,99.62802083333334,False,Baseline,2.0,2.0,40.0,0.0
2,busy,True,45063,700,700,180.13750000000002,0.0,94.63750000000002,-94.63750000000002,99.21135416666667,False,Baseline,2.0,2.0,40.0,0.0
2,busy,True,45063,1000,1000,255.13750000000002,0.0,169.63750000000002,-169.63750000000002,98.58635416666667,False,Baseline,2.0,2.0,40.0,0.0
7,idle,True,45063,10,10,6.27,0.0,0.0,0.0,100.0,False,Baseline,7.0,7.0,140.0,0.0
7,idle,True,45063,30,30,8.67,0.0,0.0,0.0,100.0,False,Baseline,7.0,7.0,140.0,0.0
7,idle,True,45063,50,50,11.07,0.0,0.0,0.0,100.0,False,Baseline,7.0,7.0,140.0,0.0
7,idle,True,45063,70,70,13.469999999999999,0.0,0.0,0.0,100.0,False,Baseline,7.0,7.0,140.0,0.0
7,idle,True,45063,100,100,17.07,0.0,0.0,0.0,100.0,False,Baseline,7.0,7.0,140.0,0.0
7,busy,True,45063,300,300,80.48125,0.0,0.0,0.0,100.0,False,Baseline,7.0,7.0,140.0,0.0
7,busy,True,45063,500,500,130.48125,0.0,44.98124999999999,-44.98124999999999,99.62515625,False,Baseline,7.0,7.0,140.0,0.0
7,busy,True,45063,700,700,180.48125000000002,0.0,94.98125000000002,-94.98125000000002,99.20848958333333,False,Baseline,7.0,7.0,140.0,0.0
7,busy,True,45063,1000,1000,255.48125,0.0,169.98125,-169.98125,98.58348958333333,False,Baseline,7.0,7.0,140.0,0.0
15,idle,True,45063,10,10,6.35,0.0,0.0,0.0,100.0,False,Baseline,10.0,10.0,200.0,0.0
15,idle,True,45063,30,30,8.75,0.0,0.0,0.0,100.0,False,Baseline,15.0,15.0,300.0,0.0
15,idle,True,45063,50,50,11.15,0.0,0.0,0.0,100.0,False,Baseline,15.0,15.0,300.0,0.0
15,idle,True,45063,70,70,13.549999999999999,0.0,0.0,0.0,100.0,False,Baseline,15.0,15.0,300.0,0.0
15,idle,True,45063,100,100,17.15,0.0,0.0,0.0,100.0,False,Baseline,15.0,15.0,300.0,0.0
15,busy,True,45063,300,300,81.03125,0.0,0.0,0.0,100.0,False,Baseline,15.0,15.0,300.0,0.0
15,busy,True,45063,500,500,131.03125,0.0,45.53125,-45.53125,99.62057291666666,False,Baseline,15.0,15.0,300.0,0.0
15,busy,True,45063,700,700,181.03125,0.0,95.53125,-95.53125,99.20390625,False,Baseline,15.0,15.0,300.0,0.0
15,busy,True,45063,1000,1000,256.03125,0.0,170.53125,-170.53125,98.57890625,False,Baseline,15.0,15.0,300.0,0.0
40,idle,True,45063,10,10,6.6,0.0,0.0,0.0,100.0,False,Baseline,10.0,10.0,200.0,0.0
40,idle,True,45063,30,30,9.0,0.0,0.0,0.0,100.0,False,Baseline,30.0,30.0,600.0,0.0
40,idle,True,45063,50,50,11.4,0.0,0.0,0.0,100.0,False,Baseline,40.0,40.0,800.0,0.0
40,idle,True,45063,70,70,13.8,0.0,0.0,0.0,100.0,False,Baseline,39.0,40.0,780.0,0.0
40,idle,True,45063,100,100,17.4,0.0,0.0,0.0,100.0,False,Baseline,40.0,40.0,800.0,0.0
40,busy,True,45063,300,300,82.75,0.0,0.0,0.0,100.0,False,Baseline,40.0,40.0,800.0,0.0
40,busy,True,45063,500,500,132.75,0.0,47.25,-47.25,99.60625,False,Baseline,40.0,40.0,800.0,0.0
40,busy,True,45063,700,700,182.75,0.0,97.25,-97.25,99.18958333333333,False,Baseline,40.0,40.0,800.0,0.0
40,busy,True,45063,1000,1000,257.75,0.0,172.25,-172.25,98.56458333333333,False,Baseline,40.0,40.0,800.0,0.0
90,idle,True,45063,10,10,7.0,0.0,0.0,0.0,100.0,False,Baseline,10.0,10.0,200.0,0.0
90,idle,True,45063,30,30,9.5,0.0,0.0,0.0,100.0,False,Baseline,30.0,30.0,600.0,0.0
90,idle,True,45063,50,50,11.9,0.0,0.0,0.0,100.0,False,Baseline,50.0,50.0,1000.0,0.0
90,idle,True,45063,70,70,14.299999999999999,0.0,0.0,0.0,100.0,False,Baseline,70.0,70.0,1400.0,0.0
90,idle,True,45063,100,100,17.9,0.0,0.0,0.0,100.0,False,Baseline,90.0,90.0,1800.0,0.0
90,busy,True,45063,300,300,86.1875,0.0,0.6875,-0.6875,99.99427083333333,False,Baseline,90.0,90.0,1800.0,0.0
90,busy,True,45063,500,500,136.1875,0.0,50.6875,-50.6875,99.57760416666666,False,Baseline,90.0,90.0,1800.0,0.0
90,busy,True,45063,700,700,186.1875,0.0,100.6875,-100.6875,99.1609375,False,Baseline,90.0,90.0,1800.0,0.0
90,busy,True,45063,1000,1000,261.1875,0.0,175.6875,-175.6875,98.5359375,False,Baseline,90.0,90.0,1800.0,0.0
180,idle,True,45063,10,10,7.0,0.0,0.0,0.0,100.0,False,Baseline,10.0,10.0,200.0,0.0
180,idle,True,45063,30,30,10.399999999999999,0.0,0.0,0.0,100.0,False,Baseline,30.0,30.0,600.0,0.0
180,idle,True,45063,50,50,12.8,0.0,0.0,0.0,100.0,False,Baseline,48.0,50.0,960.0,0.0
180,idle,True,45063,70,70,15.2,0.0,0.0,0.0,100.0,False,Baseline,70.0,70.0,1400.0,0.0
180,idle,True,45063,100,100,18.8,0.0,0.0,0.0,100.0,False,Baseline,100.0,100.0,2000.0,0.0
180,busy,True,45063,300,300,92.375,0.0,6.875,-6.875,99.94270833333333,False,Baseline,178.0,180.0,3560.0,1.0
180,busy,True,45063,500,500,142.375,0.0,56.875,-56.875,99.52604166666667,False,Baseline,179.0,180.0,3580.0,0.0
180,busy,True,45063,700,700,192.375,0.0,106.875,-106.875,99.109375,False,Baseline,179.0,180.0,3580.0,0.0
180,busy,True,45063,1000,1000,267.375,0.0,181.875,-181.875,98.484375,False,Baseline,180.0,180.0,3600.0,0.0
260,busy,True,45063,10,10,13.0,0.0,0.0,0.0,100.0,False,Baseline,10.0,10.0,200.0,0.0
260,busy,True,45063,30,30,29.0,0.0,0.0,0.0,100.0,False,Baseline,30.0,30.0,600.0,0.0
260,busy,True,45063,50,50,35.375,0.0,0.0,0.0,100.0,False,Baseline,49.0,50.0,980.0,0.0
260,busy,True,45063,70,70,40.375,0.0,0.0,0.0,100.0,False,Baseline,70.0,70.0,1400.0,0.0
260,busy,True,45063,100,100,47.875,0.0,0.0,0.0,100.0,False,Baseline,99.0,100.0,1980.0,0.0
260,busy,True,45063,300,300,97.875,0.0,12.375,-12.375,99.896875,False,Baseline,257.0,260.0,5140.0,0.0
260,busy,True,45063,500,500,147.875,0.0,62.375,-62.375,99.48020833333334,False,Baseline,254.0,260.0,5080.0,2.0
260,busy,True,45063,700,700,197.875,0.0,112.375,-112.375,99.06354166666667,False,Baseline,257.0,260.0,5140.0,2.0
260,busy,True,45063,1000,1000,272.875,0.0,187.375,-187.375,98.43854166666667,False,Baseline,258.0,260.0,5160.0,0.0
400,busy,True,45063,10,10,13.0,0.0,0.0,0.0,100.0,False,Baseline,10.0,10.0,200.0,0.0
400,busy,True,45063,30,30,29.0,0.0,0.0,0.0,100.0,False,Baseline,27.0,30.0,540.0,0.0
400,busy,True,45063,50,50,45.0,0.0,0.0,0.0,100.0,False,Baseline,45.0,50.0,900.0,0.0
400,busy,True,45063,70,70,50.0,0.0,0.0,0.0,100.0,False,Baseline,65.0,70.0,1300.0,0.0
400,busy,True,45063,100,100,57.5,0.0,0.0,0.0,100.0,False,Baseline,97.0,100.0,1940.0,0.0
400,busy,True,45063,300,300,107.5,0.0,22.0,-22.0,99.81666666666666,False,Baseline,298.0,300.0,5960.0,0.0
400,busy,True,45063,500,500,157.5,0.0,72.0,-72.0,99.4,False,Baseline,383.0,400.0,7660.0,2.0
400,busy,True,45063,700,700,207.49999999999997,0.0,121.99999999999997,-121.99999999999997,98.98333333333333,False,Baseline,388.0,400.0,7760.0,0.0
400,busy,True,45063,1000,1000,282.5,0.0,197.0,-197.0,98.35833333333333,False,Baseline,382.0,400.0,7640.0,0.0
700,busy,True,45063,10,10,13.0,0.0,0.0,0.0,100.0,False,Baseline,8.0,10.0,160.0,0.0
700,busy,True,45063,30,30,29.0,0.0,0.0,0.0,100.0,False,Baseline,26.0,30.0,520.0,0.0
700,busy,True,45063,50,50,45.0,0.0,0.0,0.0,100.0,False,Baseline,38.0,50.0,760.0,0.0
700,busy,True,45063,70,70,61.0,0.0,0.0,0.0,100.0,False,Baseline,53.0,70.0,1060.0,3.0
700,busy,True,45063,100,100,78.125,0.0,0.0,0.0,100.0,False,Baseline,86.0,100.0,1720.0,3.0
700,busy,True,45063,300,300,128.125,0.0,42.625,-42.625,99.64479166666666,False,Baseline,248.0,300.0,4960.0,6.0
700,busy,True,45063,500,500,178.125,0.0,92.625,-92.625,99.228125,False,Baseline,420.0,500.0,8400.0,10.0
700,busy,True,45063,700,700,228.12499999999997,0.0,142.62499999999997,-142.62499999999997,98.81145833333333,False,Baseline,582.0,700.0,11640.0,10.0
700,busy,True,45063,1000,1000,303.125,0.0,217.625,-217.625,98.18645833333333,False,Baseline,583.0,700.0,11660.0,14.0
1000,busy,True,45063,10,10,13.0,0.0,0.0,0.0,100.0,False,Baseline,7.0,10.0,140.0,1.0
1000,busy,True,45063,30,30,29.0,0.0,0.0,0.0,100.0,False,Baseline,18.0,30.0,360.0,2.0
1000,busy,True,45063,50,50,45.0,0.0,0.0,0.0,100.0,False,Baseline,34.0,50.0,680.0,4.0
1000,busy,True,45063,70,70,61.0,0.0,0.0,0.0,100.0,False,Baseline,37.0,70.0,740.0,7.0
