country,iso3,step,satellite_latitude,satellite_longitude,country_share,step_devices_total,step_demods_total,selected_nodes,selected_demods,series_demod_used,sent_packets_used,decoded_payload_base,decoded_payload_early_decode,decoded_payload_early_drop,decoded_payload_early_decode_drop,decoded_payload_mean,collision_rate,elevation_deg,footprint_radius_m,footprint_area_km2,idle_demodulators,busy_demodulators
Papua New Guinea,PNG,759,-7.495328,139.170688,1.0,3,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Papua New Guinea,PNG,760,-7.315494,139.179818,1.0,10,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Papua New Guinea,PNG,761,-7.135657,139.188823,1.0,19,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Papua New Guinea,PNG,762,-6.955814,139.197707,1.0,27,1000,7,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Papua New Guinea,PNG,763,-6.775967,139.206469,1.0,36,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Papua New Guinea,PNG,764,-6.596115,139.215112,1.0,44,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Papua New Guinea,PNG,765,-6.416259,139.223637,1.0,50,1000,7,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,999,1
Papua New Guinea,PNG,766,-6.236399,139.232045,1.0,56,1000,40,700,100,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,699,1
Papua New Guinea,PNG,767,-6.056534,139.240338,1.0,60,1000,40,300,100,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,768,-5.876665,139.248517,1.0,62,1000,7,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,499,1
Papua New Guinea,PNG,769,-5.696791,139.256583,1.0,63,1000,15,700,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,699,1
Papua New Guinea,PNG,770,-5.516913,139.264538,1.0,62,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Papua New Guinea,PNG,771,-5.337031,139.272384,1.0,59,1000,15,300,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,772,-5.157145,139.28012,1.0,55,1000,15,300,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,773,-4.977255,139.28775,1.0,49,1000,7,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,774,-4.79736,139.295273,1.0,43,1000,40,1000,1000,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,999,1
Papua New Guinea,PNG,775,-4.617462,139.302691,1.0,35,1000,15,1000,1000,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,999,1
Papua New Guinea,PNG,776,-4.43756,139.310006,1.0,26,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Papua New Guinea,PNG,777,-4.257653,139.317218,1.0,17,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,778,-4.077743,139.324329,1.0,9,1000,2,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,999,1
Papua New Guinea,PNG,779,-3.897829,139.33134,1.0,2,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
