country,iso3,step,satellite_latitude,satellite_longitude,country_share,step_devices_total,step_demods_total,selected_nodes,selected_demods,series_demod_used,sent_packets_used,decoded_payload_base,decoded_payload_early_decode,decoded_payload_early_drop,decoded_payload_early_decode_drop,decoded_payload_mean,collision_rate,elevation_deg,footprint_radius_m,footprint_area_km2,idle_demodulators,busy_demodulators
Russian Federation,RUS,1069,48.350364,139.60896,1.0,3,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,15.438795309233939,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1070,48.53058,139.608765,1.0,17,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,15.068934220287929,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1071,48.710794,139.608587,1.0,38,1000,7,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,14.705739393353156,500000.0,785398.1633974483,499,1
Russian Federation,RUS,1072,48.891008,139.608426,1.0,64,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,14.348985939574476,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1073,49.071222,139.608283,1.0,94,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,13.998458404870888,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1074,49.251434,139.608158,1.0,126,1000,40,300,100,40,40.0,40.0,0.0,40.0,40.0,0.0,13.653950314778484,500000.0,785398.1633974483,299,1
Russian Federation,RUS,1075,49.431645,139.608051,1.0,162,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,13.315263742838795,500000.0,785398.1633974483,299,1
Russian Federation,RUS,1076,49.611856,139.607963,1.0,200,1000,15,100,100,15,15.0,15.0,0.0,15.0,15.0,0.0,12.982208901351044,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1077,49.792066,139.607893,1.0,240,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,12.65460375335087,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1078,49.972274,139.607843,1.0,282,1000,15,500,100,15,15.0,15.0,0.0,15.0,15.0,0.0,12.332273644720374,500000.0,785398.1633974483,499,1
Russian Federation,RUS,1079,50.152482,139.607812,1.0,326,1000,40,1000,1000,40,40.0,40.0,0.0,40.0,40.0,0.0,12.015050955380843,500000.0,785398.1633974483,999,1
Russian Federation,RUS,1080,50.33269,139.6078,1.0,372,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,11.702774768564183,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1081,50.512896,139.607809,1.0,418,1000,400,700,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,11.395290557205584,500000.0,785398.1633974483,698,2
Russian Federation,RUS,1082,50.693101,139.607837,1.0,466,1000,90,1000,1000,95,95.0,94.8,0.3,95.1,94.8,0.002105263157894721,11.092449886543648,500000.0,785398.1633974483,999,1
Russian Federation,RUS,1083,50.873305,139.607886,1.0,515,1000,90,500,100,95,94.8,95.0,0.1,95.1,95.0,0.0,10.794110132059444,500000.0,785398.1633974483,499,1
Russian Federation,RUS,1084,51.053509,139.607956,1.0,566,1000,15,700,100,15,15.0,15.0,0.0,15.0,15.0,0.0,10.500134211929492,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1085,51.233711,139.608047,1.0,617,1000,180,1000,1000,167,167.0,167.0,1.1,168.1,167.0,0.0,10.210390333207584,500000.0,785398.1633974483,999,1
Russian Federation,RUS,1086,51.413912,139.608159,1.0,668,1000,180,700,100,167,166.8,167.0,1.2,168.2,167.0,0.0,9.924751750993664,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1087,51.594113,139.608293,1.0,721,1000,260,100,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,9.643096539884255,500000.0,785398.1633974483,98,2
Russian Federation,RUS,1088,51.774312,139.608449,1.0,774,1000,400,500,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,9.365307377038476,500000.0,785398.1633974483,498,2
Russian Federation,RUS,1089,51.95451,139.608627,1.0,828,1000,260,300,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,9.091271336228289,500000.0,785398.1633974483,298,2
Russian Federation,RUS,1090,52.134708,139.608828,1.0,882,1000,90,500,100,95,94.8,95.0,0.1,95.1,95.0,0.0,8.820879692276378,500000.0,785398.1633974483,499,1
Russian Federation,RUS,1091,52.314904,139.609052,1.0,937,1000,180,300,100,167,166.8,167.0,1.2,168.2,167.0,0.0,8.55402773531793,500000.0,785398.1633974483,299,1
Russian Federation,RUS,1092,52.495099,139.609299,1.0,992,1000,90,1000,1000,95,95.0,94.8,0.3,95.1,94.8,0.002105263157894721,8.290614594353059,500000.0,785398.1633974483,999,1
Russian Federation,RUS,1093,52.675294,139.609569,1.0,1047,1000,15,700,100,15,15.0,15.0,0.0,15.0,15.0,0.0,8.0305430695866,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1094,52.855487,139.609863,1.0,1102,1000,180,300,100,167,166.8,167.0,1.2,168.2,167.0,0.0,7.773719473080291,500000.0,785398.1633974483,299,1
Russian Federation,RUS,1095,53.035679,139.610182,1.0,1158,1000,90,700,100,95,94.8,95.0,0.1,95.1,95.0,0.0,7.520053477267851,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1096,53.21587,139.610524,1.0,1213,1000,180,700,100,167,166.8,167.0,1.2,168.2,167.0,0.0,7.269457970910395,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1097,53.396059,139.610892,1.0,1269,1000,700,300,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,7.021848922091522,500000.0,785398.1633974483,297,3
Russian Federation,RUS,1098,53.576248,139.611285,1.0,1324,1000,40,100,100,40,40.0,40.0,0.0,40.0,40.0,0.0,6.777145247875239,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1099,53.756435,139.611703,1.0,1380,1000,2,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,6.53526869027084,500000.0,785398.1633974483,999,1
Russian Federation,RUS,1100,53.936622,139.612147,1.0,1435,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,6.2961436981685495,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1101,54.116807,139.612616,1.0,1490,1000,7,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,6.059697314929167,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1102,54.296991,139.613113,1.0,1545,1000,1500,1000,1000,1599,1571.6,1574.7,277.0,1851.7,1574.7,0.015196998123827354,5.8258590713286935,500000.0,785398.1633974483,993,7
Russian Federation,RUS,1103,54.477174,139.613636,1.0,1600,1000,90,100,100,95,94.8,95.0,0.1,95.1,95.0,0.0,5.5945608835754115,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1104,54.657355,139.614186,1.0,1654,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,5.365736956133617,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1105,54.837535,139.614763,1.0,1708,1000,400,1000,1000,390,389.4,389.0,5.5,394.5,389.0,0.002564102564102555,5.139323689102042,500000.0,785398.1633974483,998,2
Russian Federation,RUS,1106,55.017714,139.615369,1.0,1762,1000,1500,700,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,4.915259589910164,500000.0,785398.1633974483,693,7
Russian Federation,RUS,1107,55.197892,139.616002,1.0,1815,1000,1500,100,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,4.693485189108543,500000.0,785398.1633974483,93,7
Russian Federation,RUS,1108,55.378069,139.616664,1.0,1868,1000,260,500,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,4.473942960041114,500000.0,785398.1633974483,498,2
Russian Federation,RUS,1109,55.558244,139.617354,1.0,1920,1000,90,500,100,95,94.8,95.0,0.1,95.1,95.0,0.0,4.256577242200564,500000.0,785398.1633974483,499,1
Russian Federation,RUS,1110,55.738418,139.618074,1.0,1971,1000,90,300,100,95,94.8,95.0,0.1,95.1,95.0,0.0,4.041334168078009,500000.0,785398.1633974483,299,1
Russian Federation,RUS,1111,55.91859,139.618823,1.0,2022,1000,15,1000,1000,15,15.0,15.0,0.0,15.0,15.0,0.0,3.828161593328417,500000.0,785398.1633974483,999,1
Russian Federation,RUS,1112,56.098762,139.619602,1.0,2073,1000,1500,300,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,3.617009030084432,500000.0,785398.1633974483,293,7
Russian Federation,RUS,1113,56.278932,139.620411,1.0,2123,1000,180,500,100,167,166.8,167.0,1.2,168.2,167.0,0.0,3.407827583259291,500000.0,785398.1633974483,499,1
Russian Federation,RUS,1114,56.4591,139.621251,1.0,2172,1000,180,700,100,167,166.8,167.0,1.2,168.2,167.0,0.0,3.200569889687813,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1115,56.639267,139.622122,1.0,2220,1000,260,300,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,2.995190059965381,500000.0,785398.1633974483,298,2
Russian Federation,RUS,1116,56.819433,139.623024,1.0,2268,1000,700,100,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,2.7916436228486248,500000.0,785398.1633974483,97,3
Russian Federation,RUS,1117,56.999598,139.623957,1.0,2315,1000,400,700,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,2.5898874720922436,500000.0,785398.1633974483,698,2
Russian Federation,RUS,1118,57.17976,139.624923,1.0,2362,1000,400,100,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,2.3898798156018017,500000.0,785398.1633974483,98,2
Russian Federation,RUS,1119,57.359922,139.625921,1.0,2407,1000,2,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,2.191580126787784,500000.0,785398.1633974483,999,1
Russian Federation,RUS,1120,57.540082,139.626952,1.0,2452,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,1.99494909801561,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1121,57.720241,139.628016,1.0,2496,1000,1500,1000,1000,1599,1571.6,1574.7,277.0,1851.7,1574.7,0.015196998123827354,1.7999485960472157,500000.0,785398.1633974483,993,7
Russian Federation,RUS,1122,57.900398,139.629114,1.0,2539,1000,260,700,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,1.606541619380863,500000.0,785398.1633974483,698,2
Russian Federation,RUS,1123,58.080553,139.630246,1.0,2581,1000,1000,1000,1000,1048,1040.1,1041.2,89.3,1130.5,1041.2,0.0064885496183205715,1.4146922573951315,500000.0,785398.1633974483,995,5
Russian Federation,RUS,1124,58.260707,139.631412,1.0,2623,1000,260,500,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,1.2243656512133327,500000.0,785398.1633974483,498,2
Russian Federation,RUS,1125,58.44086,139.632613,1.0,2663,1000,1500,300,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,1.035527956204703,500000.0,785398.1633974483,293,7
Russian Federation,RUS,1126,58.621011,139.633848,1.0,2703,1000,7,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,0.8481463060455496,500000.0,785398.1633974483,999,1
Russian Federation,RUS,1127,58.801161,139.63512,1.0,2741,1000,260,700,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,0.662188778267705,500000.0,785398.1633974483,698,2
Russian Federation,RUS,1128,58.981308,139.636427,1.0,2779,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,0.47762436122289387,500000.0,785398.1633974483,299,1
Russian Federation,RUS,1129,59.161455,139.637771,1.0,2816,1000,1500,500,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,0.294422922398752,500000.0,785398.1633974483,493,7
Russian Federation,RUS,1130,59.341599,139.639152,1.0,2852,1000,40,100,100,40,40.0,40.0,0.0,40.0,40.0,0.0,0.11255517802271697,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1131,59.521742,139.64057,1.0,2887,1000,1000,1000,1000,1048,1040.1,1041.2,89.3,1130.5,1041.2,0.0064885496183205715,0.06800733610492671,500000.0,785398.1633974483,995,5
Russian Federation,RUS,1132,59.701884,139.642025,1.0,2921,1000,2,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,0.24729229260577767,500000.0,785398.1633974483,999,1
Russian Federation,RUS,1133,59.882023,139.643519,1.0,2954,1000,1500,100,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,0.42532659939882933,500000.0,785398.1633974483,93,7
Russian Federation,RUS,1134,60.062162,139.645051,1.0,2986,1000,400,1000,1000,390,389.4,389.0,5.5,394.5,389.0,0.002564102564102555,0.6021364255076378,500000.0,785398.1633974483,998,2
