country,iso3,step,satellite_latitude,satellite_longitude,country_share,step_devices_total,step_demods_total,selected_nodes,selected_demods,series_demod_used,sent_packets_used,decoded_payload_base,decoded_payload_early_decode,decoded_payload_early_drop,decoded_payload_early_decode_drop,decoded_payload_mean,collision_rate,elevation_deg,footprint_radius_m,footprint_area_km2,idle_demodulators,busy_demodulators
Saint Pierre and Miquelon,SPM,1915,50.460958,-52.403646,1.0,3,1000,2,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,82.2540974241741,500000.0,785398.1633974483,499,1
Saint Pierre and Miquelon,SPM,1916,50.281447,-52.40369,1.0,4,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,82.34819587550083,500000.0,785398.1633974483,699,1
Saint Pierre and Miquelon,SPM,1917,50.101936,-52.403754,1.0,4,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,82.4422926129968,500000.0,785398.1633974483,99,1
Saint Pierre and Miquelon,SPM,1918,49.922425,-52.403837,1.0,4,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,82.53638765857626,500000.0,785398.1633974483,99,1
Saint Pierre and Miquelon,SPM,1919,49.742914,-52.403939,1.0,4,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,82.63048103412147,500000.0,785398.1633974483,99,1
Saint Pierre and Miquelon,SPM,1920,49.563402,-52.404061,1.0,4,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,82.72457276148307,500000.0,785398.1633974483,699,1
Saint Pierre and Miquelon,SPM,1921,49.383889,-52.404201,1.0,4,1000,2,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,82.81866286248041,500000.0,785398.1633974483,499,1
Saint Pierre and Miquelon,SPM,1922,49.204377,-52.404359,1.0,4,1000,2,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,82.91275135890216,500000.0,785398.1633974483,499,1
Saint Pierre and Miquelon,SPM,1923,49.024864,-52.404535,1.0,4,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,83.00683827250663,500000.0,785398.1633974483,299,1
Saint Pierre and Miquelon,SPM,1924,48.845351,-52.404729,1.0,4,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,83.1009236250221,500000.0,785398.1633974483,299,1
Saint Pierre and Miquelon,SPM,1925,48.665837,-52.404941,1.0,4,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,83.19500743814758,500000.0,785398.1633974483,299,1
Saint Pierre and Miquelon,SPM,1926,48.486324,-52.405169,1.0,4,1000,2,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,83.28908973355287,500000.0,785398.1633974483,499,1
Saint Pierre and Miquelon,SPM,1927,48.30681,-52.405415,1.0,4,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,83.38317053287923,500000.0,785398.1633974483,99,1
Saint Pierre and Miquelon,SPM,1928,48.127295,-52.405677,1.0,4,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,83.47724985773964,500000.0,785398.1633974483,299,1
Saint Pierre and Miquelon,SPM,1929,47.947781,-52.405956,1.0,4,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,83.57132772971933,500000.0,785398.1633974483,699,1
Saint Pierre and Miquelon,SPM,1930,47.768266,-52.406251,1.0,4,1000,2,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,83.66540417037623,500000.0,785398.1633974483,499,1
Saint Pierre and Miquelon,SPM,1931,47.588751,-52.406562,1.0,4,1000,2,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,83.75947920124123,500000.0,785398.1633974483,999,1
Saint Pierre and Miquelon,SPM,1932,47.409236,-52.406888,1.0,4,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,83.85355284381883,500000.0,785398.1633974483,699,1
Saint Pierre and Miquelon,SPM,1933,47.22972,-52.40723,1.0,4,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,83.94762511958736,500000.0,785398.1633974483,99,1
Saint Pierre and Miquelon,SPM,1934,47.050204,-52.407587,1.0,4,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,84.04169604999942,500000.0,785398.1633974483,99,1
Saint Pierre and Miquelon,SPM,1935,46.870688,-52.407958,1.0,4,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,84.13576565648242,500000.0,785398.1633974483,299,1
Saint Pierre and Miquelon,SPM,1936,46.691172,-52.408344,1.0,4,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,84.22983396043894,500000.0,785398.1633974483,699,1
Saint Pierre and Miquelon,SPM,1937,46.511655,-52.408745,1.0,4,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,84.32390098324707,500000.0,785398.1633974483,299,1
Saint Pierre and Miquelon,SPM,1938,46.332139,-52.409159,1.0,4,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,84.41796674626092,500000.0,785398.1633974483,299,1
Saint Pierre and Miquelon,SPM,1939,46.152622,-52.409588,1.0,4,1000,2,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,84.51203127081092,500000.0,785398.1633974483,499,1
