country,iso3,step,satellite_latitude,satellite_longitude,country_share,step_devices_total,step_demods_total,selected_nodes,selected_demods,series_demod_used,sent_packets_used,decoded_payload_base,decoded_payload_early_decode,decoded_payload_early_drop,decoded_payload_early_decode_drop,decoded_payload_mean,collision_rate,elevation_deg,footprint_radius_m,footprint_area_km2,idle_demodulators,busy_demodulators
Canada,CAN,1792,72.535589,-52.665423,0.2004939026398028,15,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,70.65951341371876,500000.0,785398.1633974483,99,1
Canada,CAN,1793,72.356192,-52.659931,0.31827004537621595,18,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,70.75400481348427,500000.0,785398.1633974483,299,1
Canada,CAN,1794,72.176794,-52.65452,0.4169602759141156,21,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,70.84849140109247,500000.0,785398.1633974483,699,1
Canada,CAN,1795,71.997393,-52.649191,0.4968965113882943,24,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,70.94297320640793,500000.0,785398.1633974483,299,1
Canada,CAN,1796,71.817991,-52.643942,0.5612252934461264,28,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,71.03745025919073,500000.0,785398.1633974483,299,1
Canada,CAN,1797,71.638587,-52.638772,0.6132385836666056,32,1000,15,500,100,15,15.0,15.0,0.0,15.0,15.0,0.0,71.13192258909764,500000.0,785398.1633974483,499,1
Canada,CAN,1798,71.459182,-52.633681,0.6556859082548532,35,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,71.22639022568272,500000.0,785398.1633974483,299,1
Canada,CAN,1799,71.279774,-52.628667,0.690705952351803,39,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,71.32085319839813,500000.0,785398.1633974483,99,1
Canada,CAN,1800,71.100365,-52.62373,0.7199224902190757,43,1000,15,100,100,15,15.0,15.0,0.0,15.0,15.0,0.0,71.41531153659507,500000.0,785398.1633974483,99,1
Canada,CAN,1801,70.920954,-52.618868,0.7445619333504438,47,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,71.5097652695244,500000.0,785398.1633974483,699,1
Canada,CAN,1802,70.741541,-52.614082,0.7655536846789354,50,1000,7,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,71.60421442633756,500000.0,785398.1633974483,299,1
Canada,CAN,1803,70.562127,-52.60937,0.783607270605952,54,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,71.69865903608725,500000.0,785398.1633974483,99,1
Canada,CAN,1804,70.382711,-52.604732,0.7992693432877384,57,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,71.7930991277283,500000.0,785398.1633974483,99,1
Canada,CAN,1805,70.203293,-52.600165,0.8129652335537214,61,1000,15,300,100,15,15.0,15.0,0.0,15.0,15.0,0.0,71.88753473011842,500000.0,785398.1633974483,299,1
