country,iso3,step,satellite_latitude,satellite_longitude,country_share,step_devices_total,step_demods_total,selected_nodes,selected_demods,series_demod_used,sent_packets_used,decoded_payload_base,decoded_payload_early_decode,decoded_payload_early_drop,decoded_payload_early_decode_drop,decoded_payload_mean,collision_rate,elevation_deg,footprint_radius_m,footprint_area_km2,idle_demodulators,busy_demodulators
Japan,JPN,975,31.408191,139.6682,1.0,29545,119,180,100,100,167,166.8,167.0,1.2,168.2,167.0,0.0,90.0,500000.0,785398.1633974483,99,1
Japan,JPN,991,34.292052,139.656257,1.0,71031,285,400,100,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,90.0,500000.0,785398.1633974483,98,2
Japan,JPN,992,34.472295,139.655486,1.0,73057,293,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Japan,JPN,993,34.652538,139.654714,1.0,74888,300,15,300,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,299,1
Japan,JPN,994,34.83278,139.65394,1.0,76488,306,400,100,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,90.0,500000.0,785398.1633974483,98,2
Japan,JPN,995,35.013023,139.653166,1.0,77823,312,90,300,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,299,1
Japan,JPN,997,35.373508,139.651614,1.0,79582,319,7,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Japan,JPN,998,35.553751,139.650838,1.0,79988,320,1500,300,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,90.0,500000.0,785398.1633974483,293,7
Japan,JPN,1000,35.914237,139.649285,1.0,80086,321,260,100,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,87.20102934424085,500000.0,785398.1633974483,98,2
Japan,JPN,1003,36.454965,139.646959,1.0,80018,321,700,300,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,80.90416169834896,500000.0,785398.1633974483,297,3
Japan,JPN,1010,37.716662,139.641574,1.0,71301,286,1500,100,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,67.11545519306566,500000.0,785398.1633974483,93,7
Japan,JPN,1013,38.257388,139.6393,1.0,64407,258,1000,100,100,1048,298.4,567.4,45.8,613.1999999999999,567.4,0.458587786259542,61.794929324461464,500000.0,785398.1633974483,95,5
Japan,JPN,1015,38.617871,139.6378,1.0,59323,238,700,100,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,58.47657011758042,500000.0,785398.1633974483,97,3
Japan,JPN,1023,40.059795,139.631964,1.0,37769,152,180,100,100,167,166.8,167.0,1.2,168.2,167.0,0.0,47.032905018980216,500000.0,785398.1633974483,99,1
