step,satellite_latitude,satellite_longitude,elevation_deg,footprint_radius_m,footprint_area_km2,countries_used,estimated_devices_total,estimated_demodulators_total,sent_packets_sum,decoded_payload_sum,collision_rate,busy_demodulators,idle_demodulators,demod_utilization,baseline_circuit_power_w,per_idle_demodulator_power_w,per_busy_demodulator_power_w,total_power_w,power_formula_check_w
0,35.676374,-28.249286,89.99990450575575,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
1,35.496851,-28.250108,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
2,35.317328,-28.25093,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
3,35.137804,-28.251751,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
4,34.958281,-28.252571,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
5,34.778758,-28.253391,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
6,34.599235,-28.254209,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
7,34.419712,-28.255026,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
8,34.240189,-28.255842,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
9,34.060665,-28.256655,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
10,33.881142,-28.257467,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
11,33.701619,-28.258277,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
12,33.522096,-28.259084,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
13,33.342573,-28.259888,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
14,33.16305,-28.26069,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
15,32.983527,-28.261488,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
16,32.804005,-28.262283,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
17,32.624482,-28.263075,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
18,32.444959,-28.263862,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
