step,satellite_latitude,satellite_longitude,native_footprint_radius_m,footprint_radius_m,footprint_area_km2,country,iso3,overlap_fraction,effective_population,population_coverage_share,step_effective_population,step_devices_total,step_demodulators_total
553,-44.115688,124.600893,100000.0,500000.0,785398.1633974483,Australia,AUS,0.00037148907157769984,6649.271004518959,1.0,6649.271004518959,7,1
554,-43.946890,124.943425,100000.0,500000.0,785398.1633974483,Australia,AUS,0.0015029653896681426,26901.529414777615,1.0,26901.529414777615,27,1
555,-43.777715,125.274715,100000.0,500000.0,785398.1633974483,Australia,AUS,0.00301667348399189,53995.342156419356,1.0,53995.342156419356,54,1
556,-43.608179,125.595274,100000.0,500000.0,785398.1633974483,Australia,AUS,0.004798198211575799,85882.79624665245,1.0,85882.79624665245,86,1
557,-43.438301,125.905580,100000.0,500000.0,785398.1633974483,Australia,AUS,0.006785157245199859,121447.31240680043,1.0,121447.31240680043,121,1
558,-43.268095,126.206089,100000.0,500000.0,785398.1633974483,Australia,AUS,0.008936340120877373,159951.26586070022,1.0,159951.26586070022,160,1
559,-43.097577,126.497227,100000.0,500000.0,785398.1633974483,Australia,AUS,0.011221892013825351,200860.28605491552,1.0,200860.28605491552,201,1
560,-42.926761,126.779399,100000.0,500000.0,785398.1633974483,Australia,AUS,0.013618948787287097,243765.12853729055,1.0,243765.12853729055,244,1
561,-42.755659,127.052988,100000.0,500000.0,785398.1633974483,Australia,AUS,0.016109324894298047,288340.29078464414,1.0,288340.29078464414,288,2
562,-42.584284,127.318356,100000.0,500000.0,785398.1633974483,Australia,AUS,0.018678144693437027,334319.51416719914,1.0,334319.51416719914,334,2
563,-42.412648,127.575845,100000.0,500000.0,785398.1633974483,Australia,AUS,0.02131296687713222,381480.11211884953,1.0,381480.11211884953,381,2
564,-42.240762,127.825780,100000.0,500000.0,785398.1633974483,Australia,AUS,0.024003191238746155,429632.35188019776,1.0,429632.35188019776,430,2
565,-42.068636,128.068468,100000.0,500000.0,785398.1633974483,Australia,AUS,0.02673963848666035,478611.93360430206,1.0,478611.93360430206,479,2
566,-41.896281,128.304201,100000.0,500000.0,785398.1633974483,Australia,AUS,0.029514241850008744,528274.4704175673,1.0,528274.4704175673,528,3
567,-41.723705,128.533256,100000.0,500000.0,785398.1633974483,Australia,AUS,0.03231981396541938,578491.3159329946,1.0,578491.3159329946,578,3
568,-41.550918,128.755896,100000.0,500000.0,785398.1633974483,Australia,AUS,0.03514986616273744,629146.3296511202,1.0,629146.3296511202,629,3
569,-41.377927,128.972370,100000.0,500000.0,785398.1633974483,Australia,AUS,0.03799846519243014,680133.3125284209,1.0,680133.3125284209,680,3
570,-41.204742,129.182914,100000.0,500000.0,785398.1633974483,Australia,AUS,0.0408601172556449,731353.9312350359,1.0,731353.9312350359,731,3
571,-41.031370,129.387756,100000.0,500000.0,785398.1633974483,Australia,AUS,0.04372967223747433,782716.0040290414,1.0,782716.0040290414,783,4
572,-40.857817,129.587108,100000.0,500000.0,785398.1633974483,Australia,AUS,0.04660224301953208,834132.056534828,1.0,834132.056534828,834,4
573,-40.684091,129.781176,100000.0,500000.0,785398.1633974483,Australia,AUS,0.04947313606196248,885518.0792327124,1.0,885518.0792327124,886,4
574,-40.510197,129.970153,100000.0,500000.0,785398.1633974483,Australia,AUS,0.052337790331676314,936792.4343373837,1.0,936792.4343373837,937,4
575,-40.336143,130.154226,100000.0,500000.0,785398.1633974483,Australia,AUS,0.0551917222536643,987874.8704832252,1.0,987874.8704832252,988,4
576,-40.161935,130.333570,100000.0,500000.0,785398.1633974483,Australia,AUS,0.058030474761048556,1038685.6107728158,1.0,1038685.6107728158,1039,5
