step,satellite_latitude,satellite_longitude,coverage_center_latitude,coverage_center_longitude,native_footprint_radius_m,footprint_radius_m,footprint_area_km2,covered_countries,covered_adult_population,estimated_devices_total,estimated_demodulators_total
0,35.676374,-28.249286,35.676374,-28.249286,100000.0,500000.0,785398.1633974483,0,0,0,0
1,35.496851,-28.250108,35.496851,-28.250108,100000.0,500000.0,785398.1633974483,0,0,0,0
2,35.317328,-28.250930,35.317328,-28.250930,100000.0,500000.0,785398.1633974483,0,0,0,0
3,35.137804,-28.251751,35.137804,-28.251751,100000.0,500000.0,785398.1633974483,0,0,0,0
4,34.958281,-28.252571,34.958281,-28.252571,100000.0,500000.0,785398.1633974483,0,0,0,0
5,34.778758,-28.253391,34.778758,-28.253391,100000.0,500000.0,785398.1633974483,0,0,0,0
6,34.599235,-28.254209,34.599235,-28.254209,100000.0,500000.0,785398.1633974483,0,0,0,0
7,34.419712,-28.255026,34.419712,-28.255026,100000.0,500000.0,785398.1633974483,0,0,0,0
8,34.240189,-28.255842,34.240189,-28.255842,100000.0,500000.0,785398.1633974483,0,0,0,0
9,34.060665,-28.256655,34.060665,-28.256655,100000.0,500000.0,785398.1633974483,0,0,0,0
10,33.881142,-28.257467,33.881142,-28.257467,100000.0,500000.0,785398.1633974483,0,0,0,0
11,33.701619,-28.258277,33.701619,-28.258277,100000.0,500000.0,785398.1633974483,0,0,0,0
12,33.522096,-28.259084,33.522096,-28.259084,100000.0,500000.0,785398.1633974483,0,0,0,0
13,33.342573,-28.259888,33.342573,-28.259888,100000.0,500000.0,785398.1633974483,0,0,0,0
14,33.163050,-28.260690,33.163050,-28.260690,100000.0,500000.0,785398.1633974483,0,0,0,0
15,32.983527,-28.261488,32.983527,-28.261488,100000.0,500000.0,785398.1633974483,0,0,0,0
16,32.804005,-28.262283,32.804005,-28.262283,100000.0,500000.0,785398.1633974483,0,0,0,0
17,32.624482,-28.263075,32.624482,-28.263075,100000.0,500000.0,785398.1633974483,0,0,0,0
18,32.444959,-28.263862,32.444959,-28.263862,100000.0,500000.0,785398.1633974483,0,0,0,0
19,32.265436,-28.264646,32.265436,-28.264646,100000.0,500000.0,785398.1633974483,0,0,0,0
20,32.085914,-28.265425,32.085914,-28.265425,100000.0,500000.0,785398.1633974483,0,0,0,0
21,31.906391,-28.266200,31.906391,-28.266200,100000.0,500000.0,785398.1633974483,0,0,0,0
22,31.726869,-28.266971,31.726869,-28.266971,100000.0,500000.0,785398.1633974483,0,0,0,0
23,31.547347,-28.267736,31.547347,-28.267736,100000.0,500000.0,785398.1633974483,0,0,0,0
24,31.367824,-28.268496,31.367824,-28.268496,100000.0,500000.0,785398.1633974483,0,0,0,0
25,31.188302,-28.269251,31.188302,-28.269251,100000.0,500000.0,785398.1633974483,0,0,0,0
26,31.008780,-28.270001,31.008780,-28.270001,100000.0,500000.0,785398.1633974483,0,0,0,0
27,30.829258,-28.270744,30.829258,-28.270744,100000.0,500000.0,785398.1633974483,0,0,0,0
28,30.649736,-28.271481,30.649736,-28.271481,100000.0,500000.0,785398.1633974483,0,0,0,0
29,30.470214,-28.272213,30.470214,-28.272213,100000.0,500000.0,785398.1633974483,0,0,0,0
30,30.290692,-28.272937,30.290692,-28.272937,100000.0,500000.0,785398.1633974483,0,0,0,0
31,30.111171,-28.273655,30.111171,-28.273655,100000.0,500000.0,785398.1633974483,0,0,0,0
32,29.931649,-28.274366,29.931649,-28.274366,100000.0,500000.0,785398.1633974483,0,0,0,0
33,29.752128,-28.275070,29.752128,-28.275070,100000.0,500000.0,785398.1633974483,0,0,0,0
34,29.572607,-28.275766,29.572607,-28.275766,100000.0,500000.0,785398.1633974483,0,0,0,0
35,29.393085,-28.276455,29.393085,-28.276455,100000.0,500000.0,785398.1633974483,0,0,0,0
36,29.213564,-28.277135,29.213564,-28.277135,100000.0,500000.0,785398.1633974483,0,0,0,0
37,29.034043,-28.277808,29.034043,-28.277808,100000.0,500000.0,785398.1633974483,0,0,0,0
38,28.854523,-28.278472,28.854523,-28.278472,100000.0,500000.0,785398.1633974483,0,0,0,0
39,28.675002,-28.279128,28.675002,-28.279128,100000.0,500000.0,785398.1633974483,0,0,0,0
40,28.495481,-28.279775,28.495481,-28.279775,100000.0,500000.0,785398.1633974483,0,0,0,0
41,28.315961,-28.280412,28.315961,-28.280412,100000.0,500000.0,785398.1633974483,0,0,0,0
42,28.136441,-28.281041,28.136441,-28.281041,100000.0,500000.0,785398.1633974483,0,0,0,0
43,27.956921,-28.281660,27.956921,-28.281660,100000.0,500000.0,785398.1633974483,0,0,0,0
44,27.777401,-28.282269,27.777401,-28.282269,100000.0,500000.0,785398.1633974483,0,0,0,0
45,27.597881,-28.282868,27.597881,-28.282868,100000.0,500000.0,785398.1633974483,0,0,0,0
46,27.418362,-28.283457,27.418362,-28.283457,100000.0,500000.0,785398.1633974483,0,0,0,0
47,27.238842,-28.284035,27.238842,-28.284035,100000.0,500000.0,785398.1633974483,0,0,0,0
48,27.059323,-28.284603,27.059323,-28.284603,100000.0,500000.0,785398.1633974483,0,0,0,0
49,26.879804,-28.285159,26.879804,-28.285159,100000.0,500000.0,785398.1633974483,0,0,0,0
50,26.700285,-28.285705,26.700285,-28.285705,100000.0,500000.0,785398.1633974483,0,0,0,0
51,26.520766,-28.286239,26.520766,-28.286239,100000.0,500000.0,785398.1633974483,0,0,0,0
52,26.341248,-28.286761,26.341248,-28.286761,100000.0,500000.0,785398.1633974483,0,0,0,0
53,26.161729,-28.287271,26.161729,-28.287271,100000.0,500000.0,785398.1633974483,0,0,0,0
54,25.982211,-28.287769,25.982211,-28.287769,100000.0,500000.0,785398.1633974483,0,0,0,0
55,25.802693,-28.288255,25.802693,-28.288255,100000.0,500000.0,785398.1633974483,0,0,0,0
56,25.623176,-28.288727,25.623176,-28.288727,100000.0,500000.0,785398.1633974483,0,0,0,0
57,25.443658,-28.289187,25.443658,-28.289187,100000.0,500000.0,785398.1633974483,0,0,0,0
58,25.264141,-28.289634,25.264141,-28.289634,100000.0,500000.0,785398.1633974483,0,0,0,0
59,25.084624,-28.290067,25.084624,-28.290067,100000.0,500000.0,785398.1633974483,0,0,0,0
60,24.905107,-28.290487,24.905107,-28.290487,100000.0,500000.0,785398.1633974483,0,0,0,0
61,24.725590,-28.290892,24.725590,-28.290892,100000.0,500000.0,785398.1633974483,0,0,0,0
62,24.546074,-28.291284,24.546074,-28.291284,100000.0,500000.0,785398.1633974483,0,0,0,0
63,24.366558,-28.291661,24.366558,-28.291661,100000.0,500000.0,785398.1633974483,0,0,0,0
64,24.187042,-28.292023,24.187042,-28.292023,100000.0,500000.0,785398.1633974483,0,0,0,0
65,24.007526,-28.292370,24.007526,-28.292370,100000.0,500000.0,785398.1633974483,0,0,0,0
66,23.828011,-28.292702,23.828011,-28.292702,100000.0,500000.0,785398.1633974483,0,0,0,0
67,23.648495,-28.293018,23.648495,-28.293018,100000.0,500000.0,785398.1633974483,0,0,0,0
68,23.468981,-28.293319,23.468981,-28.293319,100000.0,500000.0,785398.1633974483,0,0,0,0
69,23.289466,-28.293603,23.289466,-28.293603,100000.0,500000.0,785398.1633974483,0,0,0,0
70,23.109952,-28.293872,23.109952,-28.293872,100000.0,500000.0,785398.1633974483,0,0,0,0
71,22.930437,-28.294123,22.930437,-28.294123,100000.0,500000.0,785398.1633974483,0,0,0,0
72,22.750924,-28.294358,22.750924,-28.294358,100000.0,500000.0,785398.1633974483,0,0,0,0
73,22.571410,-28.294576,22.571410,-28.294576,100000.0,500000.0,785398.1633974483,0,0,0,0
74,22.391897,-28.294776,22.391897,-28.294776,100000.0,500000.0,785398.1633974483,0,0,0,0
75,22.212384,-28.294959,22.212384,-28.294959,100000.0,500000.0,785398.1633974483,0,0,0,0
76,22.032871,-28.295123,22.032871,-28.295123,100000.0,500000.0,785398.1633974483,0,0,0,0
77,21.853359,-28.295270,21.853359,-28.295270,100000.0,500000.0,785398.1633974483,0,0,0,0
78,21.673847,-28.295398,21.673847,-28.295398,100000.0,500000.0,785398.1633974483,0,0,0,0
79,21.494335,-28.295507,21.494335,-28.295507,100000.0,500000.0,785398.1633974483,0,0,0,0
80,21.314824,-28.295597,21.314824,-28.295597,100000.0,500000.0,785398.1633974483,0,0,0,0
81,21.135313,-28.295668,21.135313,-28.295668,100000.0,500000.0,785398.1633974483,0,0,0,0
82,20.955802,-28.295720,20.955802,-28.295720,100000.0,500000.0,785398.1633974483,0,0,0,0
83,20.776292,-28.295751,20.776292,-28.295751,100000.0,500000.0,785398.1633974483,0,0,0,0
84,20.596782,-28.295762,20.596782,-28.295762,100000.0,500000.0,785398.1633974483,0,0,0,0
85,20.417272,-28.295753,20.417272,-28.295753,100000.0,500000.0,785398.1633974483,0,0,0,0
86,20.237763,-28.295723,20.237763,-28.295723,100000.0,500000.0,785398.1633974483,0,0,0,0
87,20.058254,-28.295672,20.058254,-28.295672,100000.0,500000.0,785398.1633974483,0,0,0,0
88,19.878745,-28.295599,19.878745,-28.295599,100000.0,500000.0,785398.1633974483,0,0,0,0
89,19.699237,-28.295505,19.699237,-28.295505,100000.0,500000.0,785398.1633974483,0,0,0,0
90,19.519729,-28.295389,19.519729,-28.295389,100000.0,500000.0,785398.1633974483,0,0,0,0
91,19.340221,-28.295251,19.340221,-28.295251,100000.0,500000.0,785398.1633974483,0,0,0,0
92,19.160714,-28.295090,19.160714,-28.295090,100000.0,500000.0,785398.1633974483,0,0,0,0
93,18.981208,-28.294906,18.981208,-28.294906,100000.0,500000.0,785398.1633974483,0,0,0,0
94,18.801701,-28.294699,18.801701,-28.294699,100000.0,500000.0,785398.1633974483,0,0,0,0
95,18.622195,-28.294469,18.622195,-28.294469,100000.0,500000.0,785398.1633974483,0,0,0,0
96,18.442690,-28.294215,18.442690,-28.294215,100000.0,500000.0,785398.1633974483,0,0,0,0
97,18.263185,-28.293937,18.263185,-28.293937,100000.0,500000.0,785398.1633974483,0,0,0,0
98,18.083680,-28.293634,18.083680,-28.293634,100000.0,500000.0,785398.1633974483,0,0,0,0
99,17.904176,-28.293307,17.904176,-28.293307,100000.0,500000.0,785398.1633974483,0,0,0,0
100,17.724672,-28.292954,17.724672,-28.292954,100000.0,500000.0,785398.1633974483,0,0,0,0
101,17.545169,-28.292577,17.545169,-28.292577,100000.0,500000.0,785398.1633974483,0,0,0,0
102,17.365666,-28.292173,17.365666,-28.292173,100000.0,500000.0,785398.1633974483,0,0,0,0
103,17.186164,-28.291744,17.186164,-28.291744,100000.0,500000.0,785398.1633974483,0,0,0,0
104,17.006662,-28.291288,17.006662,-28.291288,100000.0,500000.0,785398.1633974483,0,0,0,0
105,16.827161,-28.290805,16.827161,-28.290805,100000.0,500000.0,785398.1633974483,0,0,0,0
106,16.647660,-28.290296,16.647660,-28.290296,100000.0,500000.0,785398.1633974483,0,0,0,0
107,16.468159,-28.289759,16.468159,-28.289759,100000.0,500000.0,785398.1633974483,0,0,0,0
108,16.288659,-28.289195,16.288659,-28.289195,100000.0,500000.0,785398.1633974483,0,0,0,0
109,16.109160,-28.288602,16.109160,-28.288602,100000.0,500000.0,785398.1633974483,0,0,0,0
110,15.929661,-28.287981,15.929661,-28.287981,100000.0,500000.0,785398.1633974483,0,0,0,0
111,15.750162,-28.287332,15.750162,-28.287332,100000.0,500000.0,785398.1633974483,0,0,0,0
112,15.570665,-28.286653,15.570665,-28.286653,100000.0,500000.0,785398.1633974483,0,0,0,0
113,15.391167,-28.285945,15.391167,-28.285945,100000.0,500000.0,785398.1633974483,0,0,0,0
114,15.211670,-28.285207,15.211670,-28.285207,100000.0,500000.0,785398.1633974483,0,0,0,0
115,15.032174,-28.284440,15.032174,-28.284440,100000.0,500000.0,785398.1633974483,0,0,0,0
116,14.852678,-28.283641,14.852678,-28.283641,100000.0,500000.0,785398.1633974483,0,0,0,0
117,14.673183,-28.282812,14.673183,-28.282812,100000.0,500000.0,785398.1633974483,0,0,0,0
118,14.493689,-28.281952,14.493689,-28.281952,100000.0,500000.0,785398.1633974483,0,0,0,0
119,14.314195,-28.281060,14.314195,-28.281060,100000.0,500000.0,785398.1633974483,0,0,0,0
120,14.134701,-28.280136,14.134701,-28.280136,100000.0,500000.0,785398.1633974483,0,0,0,0
121,13.955209,-28.279179,13.955209,-28.279179,100000.0,500000.0,785398.1633974483,0,0,0,0
122,13.775716,-28.278190,13.775716,-28.278190,100000.0,500000.0,785398.1633974483,0,0,0,0
123,13.596225,-28.277168,13.596225,-28.277168,100000.0,500000.0,785398.1633974483,0,0,0,0
124,13.416734,-28.276113,13.416734,-28.276113,100000.0,500000.0,785398.1633974483,0,0,0,0
125,13.237244,-28.275023,13.237244,-28.275023,100000.0,500000.0,785398.1633974483,0,0,0,0
126,13.057754,-28.273900,13.057754,-28.273900,100000.0,500000.0,785398.1633974483,0,0,0,0
127,12.878265,-28.272741,12.878265,-28.272741,100000.0,500000.0,785398.1633974483,0,0,0,0
128,12.698777,-28.271548,12.698777,-28.271548,100000.0,500000.0,785398.1633974483,0,0,0,0
