elevation_deg,metric,value_db,ecdf
90,snr_db,-44.976529599639996,0.00025
90,snr_db,-44.74959880505206,0.0005
90,snr_db,-43.983563135819765,0.00075
90,snr_db,-43.77039586856316,0.001
90,snr_db,-43.51075906476112,0.00125
90,snr_db,-43.191622267634884,0.0015
90,snr_db,-40.90947290000663,0.00175
90,snr_db,-40.2161262318272,0.002
90,snr_db,-40.2150068573486,0.00225
90,snr_db,-40.20672270389749,0.0025
90,snr_db,-40.04306909600628,0.00275
90,snr_db,-39.831211185283266,0.003
90,snr_db,-39.749298947207606,0.00325
90,snr_db,-39.715491770653784,0.0035
90,snr_db,-39.679486245460964,0.00375
90,snr_db,-39.43439036870105,0.004
90,snr_db,-39.330202996253384,0.00425
90,snr_db,-39.2564327147955,0.0045
90,snr_db,-39.035090189089175,0.00475
90,snr_db,-38.84554438595076,0.005
90,snr_db,-38.64445341695951,0.00525
90,snr_db,-38.487504180276794,0.0055
90,snr_db,-38.40270423234108,0.00575
90,snr_db,-38.35108923860467,0.006
90,snr_db,-37.66303805229144,0.00625
90,snr_db,-37.57559156330285,0.0065
90,snr_db,-37.42803791382205,0.00675
90,snr_db,-37.22697650841609,0.007
90,snr_db,-36.89920278712784,0.00725
90,snr_db,-36.828920021719654,0.0075
90,snr_db,-36.65862019900021,0.00775
90,snr_db,-36.41023846039776,0.008
90,snr_db,-36.116828619324245,0.00825
90,snr_db,-36.09959354231443,0.0085
90,snr_db,-35.75539653177876,0.00875
90,snr_db,-35.67664621852596,0.009
90,snr_db,-35.64032525777472,0.00925
90,snr_db,-35.51889868188427,0.0095
90,snr_db,-35.21460177274125,0.00975
90,snr_db,-34.641487163940916,0.01
90,snr_db,-33.75256680430241,0.01025
90,snr_db,-33.55845358968982,0.0105
90,snr_db,-33.431129256805356,0.01075
90,snr_db,-33.4202630397531,0.011
90,snr_db,-33.41581239092638,0.01125
90,snr_db,-33.34775803656579,0.0115
90,snr_db,-33.26656100171912,0.01175
90,snr_db,-33.122561562826995,0.012
90,snr_db,-33.06477776849911,0.01225
90,snr_db,-32.9399474096179,0.0125
90,snr_db,-32.64472635424833,0.01275
90,snr_db,-32.2151246992127,0.013
90,snr_db,-32.073633141432,0.01325
90,snr_db,-31.973834152665116,0.0135
90,snr_db,-31.947514630875876,0.01375
90,snr_db,-31.93566378812453,0.014
90,snr_db,-31.844911955725305,0.01425
90,snr_db,-31.794339740894596,0.0145
90,snr_db,-31.7376306665289,0.01475
90,snr_db,-31.647100190275953,0.015
90,snr_db,-31.60374171480703,0.01525
90,snr_db,-31.588772057843077,0.0155
90,snr_db,-31.350282908717162,0.01575
90,snr_db,-31.27787006049189,0.016
90,snr_db,-31.12453733271416,0.01625
90,snr_db,-30.947986625477583,0.0165
90,snr_db,-30.94598800176066,0.01675
90,snr_db,-30.834003061023996,0.017
90,snr_db,-30.794629206611027,0.01725
90,snr_db,-30.773110558929154,0.0175
90,snr_db,-30.710815728142578,0.01775
90,snr_db,-30.586257006868184,0.018
90,snr_db,-30.38815631044461,0.01825
90,snr_db,-30.287760438993665,0.0185
90,snr_db,-30.23564418291396,0.01875
90,snr_db,-30.093516450275647,0.019
90,snr_db,-30.06905300806091,0.01925
90,snr_db,-30.02823451425598,0.0195
90,snr_db,-30.000853453315468,0.01975
90,snr_db,-29.97954841714297,0.02
90,snr_db,-29.970856291156824,0.02025
90,snr_db,-29.94166807929609,0.0205
90,snr_db,-29.933753140909932,0.02075
90,snr_db,-29.873743114397016,0.021
90,snr_db,-29.82710854246251,0.02125
90,snr_db,-29.814940784297423,0.0215
90,snr_db,-29.792948467564667,0.02175
90,snr_db,-29.714407014406085,0.022
90,snr_db,-29.71386898064956,0.02225
90,snr_db,-29.637136805412254,0.0225
90,snr_db,-29.624584628866554,0.02275
90,snr_db,-29.543666613965378,0.023
90,snr_db,-29.532286194138344,0.02325
90,snr_db,-29.492475389707625,0.0235
90,snr_db,-29.449382208172533,0.02375
90,snr_db,-29.352420586698116,0.024
90,snr_db,-29.298579038090985,0.02425
90,snr_db,-29.29823104995725,0.0245
90,snr_db,-29.128282185221725,0.02475
90,snr_db,-29.093106988709245,0.025
90,snr_db,-29.057883675493727,0.02525
90,snr_db,-29.047366098781847,0.0255
90,snr_db,-28.901997079332943,0.02575
90,snr_db,-28.869850558107903,0.026
90,snr_db,-28.496157261480356,0.02625
90,snr_db,-28.43836006693322,0.0265
90,snr_db,-28.42254990666065,0.02675
90,snr_db,-28.330455568916776,0.027
90,snr_db,-28.322041183668468,0.02725
90,snr_db,-28.261331765941677,0.0275
90,snr_db,-28.2054846859304,0.02775
90,snr_db,-28.08896249803822,0.028
90,snr_db,-28.0571625279503,0.02825
90,snr_db,-28.02580689555274,0.0285
90,snr_db,-27.9840002196848,0.02875
90,snr_db,-27.95790893101077,0.029
90,snr_db,-27.936872992046347,0.02925
90,snr_db,-27.90895995010097,0.0295
90,snr_db,-27.896325104078038,0.02975
90,snr_db,-27.84678522170875,0.03
90,snr_db,-27.834782380538222,0.03025
90,snr_db,-27.78593776939724,0.0305
90,snr_db,-27.779693444470045,0.03075
90,snr_db,-27.63036081456228,0.031
90,snr_db,-27.613941484019286,0.03125
90,snr_db,-27.56669775865187,0.0315
90,snr_db,-27.55474415336454,0.03175
90,snr_db,-27.5523500629772,0.032
90,snr_db,-27.53274974647589,0.03225
90,snr_db,-27.463061453803675,0.0325
90,snr_db,-27.41716009637065,0.03275
90,snr_db,-27.32059196743421,0.033
90,snr_db,-27.299732723628818,0.03325
90,snr_db,-27.234796605464076,0.0335
90,snr_db,-27.19479807732604,0.03375
90,snr_db,-27.08641169293401,0.034
90,snr_db,-27.05641210040187,0.03425
90,snr_db,-27.024043452024568,0.0345
90,snr_db,-27.012999450309536,0.03475
90,snr_db,-26.92842926367003,0.035
90,snr_db,-26.91465741608515,0.03525
90,snr_db,-26.91264268241696,0.0355
90,snr_db,-26.911098040454547,0.03575
90,snr_db,-26.90457999289474,0.036
90,snr_db,-26.840938872862232,0.03625
90,snr_db,-26.814741786653848,0.0365
90,snr_db,-26.74318418486331,0.03675
90,snr_db,-26.73439831137257,0.037
90,snr_db,-26.626313019385456,0.03725
90,snr_db,-26.58557751791768,0.0375
90,snr_db,-26.470358267504864,0.03775
90,snr_db,-26.42347714226814,0.038
90,snr_db,-26.38059178447257,0.03825
90,snr_db,-26.34999401088564,0.0385
90,snr_db,-26.29666336911105,0.03875
90,snr_db,-26.167449608171843,0.039
90,snr_db,-26.137519116136275,0.03925
90,snr_db,-26.123598331282103,0.0395
90,snr_db,-26.074939101272573,0.03975
90,snr_db,-26.011333047407934,0.04
90,snr_db,-25.897602073853307,0.04025
90,snr_db,-25.88588746055776,0.0405
90,snr_db,-25.752080682517633,0.04075
90,snr_db,-25.718658057864012,0.041
90,snr_db,-25.65165868907984,0.04125
90,snr_db,-25.637506590577917,0.0415
90,snr_db,-25.61308921255535,0.04175
90,snr_db,-25.60650813480074,0.042
90,snr_db,-25.57158712063343,0.04225
90,snr_db,-25.568347434383554,0.0425
90,snr_db,-25.5497045615887,0.04275
90,snr_db,-25.54192591087389,0.043
90,snr_db,-25.538324241307727,0.04325
90,snr_db,-25.530241799236634,0.0435
90,snr_db,-25.52896939912447,0.04375
90,snr_db,-25.483497865784912,0.044
90,snr_db,-25.46342568744569,0.04425
90,snr_db,-25.282095037752917,0.0445
90,snr_db,-25.10970398090105,0.04475
90,snr_db,-25.005405175955985,0.045
90,snr_db,-24.96167362426227,0.04525
90,snr_db,-24.92371918657437,0.0455
90,snr_db,-24.906716201828203,0.04575
90,snr_db,-24.87857448571092,0.046
90,snr_db,-24.877971981901915,0.04625
90,snr_db,-24.865244183649587,0.0465
90,snr_db,-24.808680442336502,0.04675
90,snr_db,-24.721078023265235,0.047
90,snr_db,-24.66618972123101,0.04725
90,snr_db,-24.633912965852648,0.0475
90,snr_db,-24.56747480469183,0.04775
90,snr_db,-24.53305035508597,0.048
90,snr_db,-24.525829458137967,0.04825
90,snr_db,-24.5110530025654,0.0485
90,snr_db,-24.341932982002973,0.04875
90,snr_db,-24.285298592246424,0.049
90,snr_db,-24.236424419179357,0.04925
90,snr_db,-24.179690686327362,0.0495
90,snr_db,-24.147672099207327,0.04975
90,snr_db,-24.13054767367701,0.05
90,snr_db,-24.113578960711216,0.05025
90,snr_db,-24.063313302794086,0.0505
90,snr_db,-24.044248379965232,0.05075
90,snr_db,-23.999100166576394,0.051
90,snr_db,-23.980293936188183,0.05125
90,snr_db,-23.94064338936458,0.0515
90,snr_db,-23.908498494592042,0.05175
90,snr_db,-23.843144714543353,0.052
90,snr_db,-23.741478574227944,0.05225
90,snr_db,-23.7400981039203,0.0525
90,snr_db,-23.727163528013758,0.05275
90,snr_db,-23.69875898480533,0.053
90,snr_db,-23.657215798172476,0.05325
90,snr_db,-23.59911514533654,0.0535
90,snr_db,-23.576108518117984,0.05375
90,snr_db,-23.552074685799358,0.054
90,snr_db,-23.54528962943373,0.05425
90,snr_db,-23.526350008219,0.0545
90,snr_db,-23.522430943012647,0.05475
90,snr_db,-23.518513283925294,0.055
90,snr_db,-23.507986495790824,0.05525
90,snr_db,-23.467081017399455,0.0555
90,snr_db,-23.4288256696191,0.05575
90,snr_db,-23.422339250140787,0.056
90,snr_db,-23.401816183134162,0.05625
90,snr_db,-23.37338026214432,0.0565
90,snr_db,-23.34591736288558,0.05675
90,snr_db,-23.29170603114282,0.057
90,snr_db,-23.28955979839517,0.05725
90,snr_db,-23.276001124744585,0.0575
90,snr_db,-23.253925909802224,0.05775
90,snr_db,-23.249035623354445,0.058
90,snr_db,-23.22206676499464,0.05825
90,snr_db,-23.182166143017934,0.0585
90,snr_db,-23.1701734101429,0.05875
90,snr_db,-23.130132599078813,0.059
90,snr_db,-23.082119098226386,0.05925
90,snr_db,-22.97938396569821,0.0595
90,snr_db,-22.97891543765536,0.05975
90,snr_db,-22.961897153928067,0.06
90,snr_db,-22.92411883185305,0.06025
90,snr_db,-22.894247944808896,0.0605
90,snr_db,-22.876656304063875,0.06075
90,snr_db,-22.801713624101183,0.061
90,snr_db,-22.724560058916875,0.06125
90,snr_db,-22.673193834180843,0.0615
90,snr_db,-22.619071559762386,0.06175
90,snr_db,-22.612100242243628,0.062
90,snr_db,-22.58422065160781,0.06225
90,snr_db,-22.563535133564834,0.0625
90,snr_db,-22.561968861777956,0.06275
90,snr_db,-22.538069452333488,0.063
90,snr_db,-22.53406233626325,0.06325
90,snr_db,-22.517662910791962,0.0635
90,snr_db,-22.493912729665247,0.06375
90,snr_db,-22.4764655603402,0.064
90,snr_db,-22.46082320012137,0.06425
90,snr_db,-22.38446392021236,0.0645
90,snr_db,-22.3711403228085,0.06475
90,snr_db,-22.33934399220743,0.065
90,snr_db,-22.334203438852704,0.06525
90,snr_db,-22.331734504737675,0.0655
90,snr_db,-22.26339536659658,0.06575
90,snr_db,-22.230293857367556,0.066
90,snr_db,-22.21048160968592,0.06625
90,snr_db,-22.14144688349264,0.0665
90,snr_db,-22.129192229069986,0.06675
90,snr_db,-22.12198191019811,0.067
90,snr_db,-22.12094379109503,0.06725
90,snr_db,-22.064085305761964,0.0675
90,snr_db,-22.0364187425263,0.06775
90,snr_db,-22.01344199484712,0.068
90,snr_db,-22.01189812411105,0.06825
90,snr_db,-21.99521931172785,0.0685
