step,orbit_index,timestamp_s,timestamp_utc,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,value_71,value_72,value_73,value_74,value_75,value_76,value_77,value_78,value_79
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,nodes,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,x_equals_y,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-8p-dec_payld-base,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,44.000000,47.000000,50.000000,57.000000,61.000000,63.000000,66.000000,65.000000,68.000000,71.000000,73.000000,73.000000,76.000000,79.000000,78.000000,78.000000,77.000000,77.000000,77.000000,79.000000,80.000000,80.000000,81.000000,80.000000,81.000000,81.000000,82.000000,81.000000,80.000000,81.000000,82.000000,81.000000,80.000000,78.000000,82.000000,81.000000,81.000000,80.000000,82.000000,80.000000,78.000000,79.000000,80.000000,79.000000,75.000000,77.000000,78.000000,74.000000,72.000000,73.000000,62.000000,67.000000,62.000000,57.000000,65.000000,58.000000,60.000000,57.000000,56.000000,58.000000,50.000000,56.000000
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-8p-dec_payld-rlydd,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,45.000000,52.000000,58.000000,59.000000,62.000000,63.000000,63.000000,67.000000,68.000000,71.000000,74.000000,78.000000,77.000000,78.000000,76.000000,75.000000,76.000000,79.000000,80.000000,80.000000,80.000000,79.000000,80.000000,81.000000,82.000000,80.000000,80.000000,81.000000,82.000000,81.000000,82.000000,80.000000,83.000000,78.000000,81.000000,78.000000,82.000000,81.000000,79.000000,79.000000,78.000000,79.000000,77.000000,79.000000,79.000000,77.000000,78.000000,74.000000,65.000000,67.000000,66.000000,66.000000,60.000000,63.000000,65.000000,64.000000,60.000000,58.000000,59.000000,58.000000,60.000000
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-infp-dec_payld,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,45.000000,52.000000,58.000000,59.000000,62.000000,63.000000,63.000000,67.000000,68.000000,71.000000,73.000000,78.000000,77.000000,78.000000,76.000000,75.000000,76.000000,79.000000,80.000000,80.000000,80.000000,81.000000,80.000000,81.000000,81.000000,79.000000,80.000000,81.000000,81.000000,81.000000,82.000000,80.000000,83.000000,80.000000,83.000000,79.000000,83.000000,80.000000,79.000000,78.000000,78.000000,81.000000,76.000000,77.000000,75.000000,74.000000,72.000000,74.000000,68.000000,70.000000,69.000000,65.000000,66.000000,65.000000,68.000000,60.000000,61.000000,52.000000,60.000000,58.000000,59.000000
1,2897,1.000000,2026-04-23T16:41:19.601982+00:00,nodes,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
1,2897,1.000000,2026-04-23T16:41:19.601982+00:00,x_equals_y,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
1,2897,1.000000,2026-04-23T16:41:19.601982+00:00,driver-CR1-8p-dec_payld-base,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,44.000000,47.000000,50.000000,57.000000,61.000000,63.000000,66.000000,65.000000,68.000000,71.000000,73.000000,73.000000,76.000000,79.000000,78.000000,78.000000,77.000000,77.000000,77.000000,79.000000,80.000000,80.000000,81.000000,80.000000,81.000000,81.000000,82.000000,81.000000,80.000000,81.000000,82.000000,81.000000,80.000000,78.000000,82.000000,81.000000,81.000000,80.000000,82.000000,80.000000,78.000000,79.000000,80.000000,79.000000,75.000000,77.000000,78.000000,74.000000,72.000000,73.000000,62.000000,67.000000,62.000000,57.000000,65.000000,58.000000,60.000000,57.000000,56.000000,58.000000,50.000000,56.000000
1,2897,1.000000,2026-04-23T16:41:19.601982+00:00,driver-CR1-8p-dec_payld-rlydd,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,45.000000,52.000000,58.000000,59.000000,62.000000,63.000000,63.000000,67.000000,68.000000,71.000000,74.000000,78.000000,77.000000,78.000000,76.000000,75.000000,76.000000,79.000000,80.000000,80.000000,80.000000,79.000000,80.000000,81.000000,82.000000,80.000000,80.000000,81.000000,82.000000,81.000000,82.000000,80.000000,83.000000,78.000000,81.000000,78.000000,82.000000,81.000000,79.000000,79.000000,78.000000,79.000000,77.000000,79.000000,79.000000,77.000000,78.000000,74.000000,65.000000,67.000000,66.000000,66.000000,60.000000,63.000000,65.000000,64.000000,60.000000,58.000000,59.000000,58.000000,60.000000
1,2897,1.000000,2026-04-23T16:41:19.601982+00:00,driver-CR1-infp-dec_payld,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,45.000000,52.000000,58.000000,59.000000,62.000000,63.000000,63.000000,67.000000,68.000000,71.000000,73.000000,78.000000,77.000000,78.000000,76.000000,75.000000,76.000000,79.000000,80.000000,80.000000,80.000000,81.000000,80.000000,81.000000,81.000000,79.000000,80.000000,81.000000,81.000000,81.000000,82.000000,80.000000,83.000000,80.000000,83.000000,79.000000,83.000000,80.000000,79.000000,78.000000,78.000000,81.000000,76.000000,77.000000,75.000000,74.000000,72.000000,74.000000,68.000000,70.000000,69.000000,65.000000,66.000000,65.000000,68.000000,60.000000,61.000000,52.000000,60.000000,58.000000,59.000000
