step,orbit_index,orbit_timestamp_s,center_elevation_deg,center_slant_range_km,user_positions_count,user_distance_min_km,user_distance_max_km,user_distance_mean_km,elevation_impact_range_ratio,elevation_impact_fspl_delta_db,sample_user_positions_local_m,elev_90deg_num_users,elev_90deg_distance_km,elev_55deg_num_users,elev_55deg_distance_km,elev_25deg_num_users,elev_25deg_distance_km,elev_90deg_busy,elev_90deg_idle,elev_90deg_sleep,elev_90deg_energy_model_w,elev_55deg_busy,elev_55deg_idle,elev_55deg_sleep,elev_55deg_energy_model_w,elev_25deg_busy,elev_25deg_idle,elev_25deg_sleep,elev_25deg_energy_model_w
0,2896,0.0,90.0,593.029,237,593.0976388941845,601.8993859920879,597.548523469015,0.9959142057816917,-0.03556145563136904,10182.6|-45874.4|-173.3;73571.3|8280.0|-430.2;28763.9|23536.2|-108.4;26022.6|-47740.1|-232.0;27273.0|-90024.9|-694.5;1679.8|15340.1|-18.7,79,604.405677592442,79,722.3585625295589,79,1203.521903254301,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,76,113,48,8.619
1,2897,1.0,89.26872338916085,593.0731953468636,237,593.0414962958434,603.1929232278283,597.5353930756734,0.995892321792789,-0.03575231946259512,-24748.9|-52764.0|-266.6;92250.1|28819.1|-733.1;-50244.2|83952.8|-751.3;-38683.3|-8618.8|-123.3;62563.7|-10899.2|-316.5;52157.1|-69663.3|-594.4,79,604.5703619604808,79,721.3352925682653,79,1215.2942899987515,20,152,65,3.37,28,146,63,4.1160000000000005,77,112,48,8.71
2,2898,2.0,88.53765542399056,593.205761579151,237,593.0409894327247,604.3423780972325,597.7239992421551,0.9962066654035918,-0.033011136467097156,64270.4|66635.8|-672.7;-82715.4|20128.9|-568.8;-1531.2|76173.1|-455.6;17323.8|-959.2|-23.6;-84402.0|32542.9|-642.2;-1784.1|37294.4|-109.4,79,604.3074521053416,79,723.5967921071385,79,1218.9849927787416,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,78,111,48,8.801
3,2899,3.0,87.8070043771034,593.4266393162097,237,593.0302046236483,605.7451874937626,597.6293366597683,0.9960488944329473,-0.03438684475432692,-33333.9|-55305.9|-327.3;-56532.1|-37550.7|-361.5;-13755.6|46039.1|-181.2;42807.9|-2644.7|-144.4;46726.8|50999.4|-375.5;-33142.5|-32513.6|-169.2,79,604.4390285061669,79,717.519243362161,79,1209.4058775752464,20,152,65,3.37,27,147,63,4.025,77,112,48,8.71
4,2900,4.0,87.07697777667258,593.7357297375423,237,593.0357885326227,607.5362791786224,598.4088875288551,0.9973481458814252,-0.023064307333657275,17916.3|24518.0|-72.4;16328.6|93526.8|-707.5;-72616.8|-42808.8|-557.7;3318.1|-60687.5|-289.9;18381.6|17509.3|-50.6;-94543.2|215.3|-701.5,79,604.5464214407298,79,715.2970098544199,79,1205.984388770465,20,152,65,3.37,27,147,63,4.025,76,113,48,8.619
5,2901,5.0,86.34778203835938,594.1328948028887,237,593.1301780140326,608.5821645069641,598.4790210998547,0.9974650351664244,-0.022046380000728703,46199.7|19693.4|-198.0;233.3|49053.7|-188.9;66648.2|-27971.1|-410.0;-79657.2|-49089.5|-687.1;17652.3|3494.8|-25.4;-14756.8|-80108.8|-520.8,79,604.1451231594737,79,723.2079140050047,79,1212.3106266405737,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,77,112,48,8.71
6,2902,6.0,85.61962210218665,594.6179575587466,237,593.0865655763424,610.6273225578393,598.9747332949273,0.9982912221582121,-0.01485495127322855,-71937.6|28393.5|-469.4;-23546.1|58260.5|-309.9;-67752.7|12610.3|-372.8;-15200.2|52472.3|-234.2;57462.0|-9629.9|-266.4;34651.9|-11679.7|-104.9,79,604.5738883320861,79,719.3114706050239,79,1213.7873489691015,20,152,65,3.37,27,147,63,4.025,77,112,48,8.71
7,2903,7.0,84.89270107593654,595.1907025297279,237,593.0797465516847,611.983315853287,599.7013201808402,0.9995022003014004,-0.004324909802629912,65764.0|-43577.5|-488.5;17408.0|-60585.8|-311.9;-45923.5|-61892.9|-466.2;-11731.6|59483.5|-288.5;56961.0|10846.5|-263.9;-68499.4|-70308.9|-756.2,79,604.4198584479675,79,723.6833788893041,79,1213.9784492638175,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,77,112,48,8.71
8,2904,8.0,84.16721988660743,595.8508761927599,237,593.1449304012953,614.0613959993187,600.336999768657,1.000561666281095,0.004877201779301966,43365.6|-14000.7|-163.0;22880.7|-33186.0|-127.5;3451.4|66365.6|-346.6;-12247.5|10457.9|-20.4;62804.2|59249.6|-585.1;20387.9|-55076.3|-270.7,79,604.5743011793924,79,726.4642187707633,79,1208.0268366566563,20,152,65,3.37,28,146,63,4.1160000000000005,76,113,48,8.619
9,2905,9.0,83.4433769413882,596.5981875317043,237,593.0543959524847,615.4294511840496,601.1349717212147,1.0018916195353578,0.016414878059374263,15912.9|17580.1|-44.1;-50715.4|-64777.2|-531.2;-75449.4|39821.1|-571.2;-2462.1|87107.2|-596.0;-21376.9|40392.2|-163.9;64831.5|58722.5|-600.5,79,604.444810162556,79,716.6671147795481,79,1212.3341620349572,20,152,65,3.37,27,147,63,4.025,77,112,48,8.71
