step,orbit_index,sat_lat_deg,sat_lon_deg,footprint_radius_m,footprint_area_km2,footprint_earth_surface_ratio,footprint_horizon_utilization_ratio,covered_population_total,covered_population_points,covered_population_ratio,covered_ocean_points,covered_ocean_ratio,covered_population_places,covered_ocean_places
0,2896,48.106698062504236,139.59739693216807,98838.16666666667,30690.16582283345,6.016918941231692e-05,0.03732185512320653,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
1,2897,48.16885074457491,139.59712917436838,98838.16735157961,30690.166248177073,6.0169190246218606e-05,0.03732185526179851,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
2,2898,48.23100342620939,139.5968614257622,98838.16940631764,30690.167524207456,6.0169192747922704e-05,0.03732185567757429,29740,1,1.2538289555333924e-05,0,0.0,Sovetskaya Gavan|City|Russia,
3,2899,48.29315610697147,139.59659369554316,98838.17283087799,30690.16965092294,6.0169196917425975e-05,0.037321856370533285,29740,1,1.2538289555333924e-05,0,0.0,Sovetskaya Gavan|City|Russia,
4,2900,48.35530878642494,139.596325992905,98838.1776252569,30690.172628321274,6.0169202754724e-05,0.037321857340674766,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
5,2901,48.417461464133595,139.59605832704176,98838.18378944849,30690.17645639894,6.016921025980988e-05,0.03732185858799748,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
6,2902,48.479614139661194,139.59579070714778,98838.1913234458,30690.181135151764,6.016921943267543e-05,0.03732186011250002,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
7,2903,48.54176681257152,139.59552314241785,98838.2002272398,30690.186664574325,6.016923027331003e-05,0.03732186191418054,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
8,2904,48.6039194824283,139.5952556420474,98838.21050081977,30690.19304466022,6.016924278170112e-05,0.03732186399303681,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
9,2905,48.66607214879528,139.59498821523232,98838.22214417346,30690.200275402087,6.016925695783427e-05,0.037321866349066354,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
