step,orbit_index,timestamp_s,orbit_timestamp_s,timestamp_utc,covered_population_total,covered_population_points,covered_population_ratio,calculated_nodes,calculated_demodulators
0,2896,0.0,0.0,2026-04-20T04:34:49.169306+00:00,302984,1,0.00012773709222035286,3,3030
1,2897,1.0,1.0,2026-04-20T04:34:50.169306+00:00,302984,1,0.00012773709222035286,3,3030
2,2898,2.0,2.0,2026-04-20T04:34:51.169306+00:00,302984,1,0.00012773709222035286,3,3030
3,2899,3.0,3.0,2026-04-20T04:34:52.169306+00:00,302984,1,0.00012773709222035286,3,3030
4,2900,4.0,4.0,2026-04-20T04:34:53.169306+00:00,458660,2,0.0001933695994434922,5,4587
5,2901,5.0,5.0,2026-04-20T04:34:54.169306+00:00,458660,2,0.0001933695994434922,5,4587
6,2902,6.0,6.0,2026-04-20T04:34:55.169306+00:00,458660,2,0.0001933695994434922,5,4587
7,2903,7.0,7.0,2026-04-20T04:34:56.169306+00:00,458660,2,0.0001933695994434922,5,4587
8,2904,8.0,8.0,2026-04-20T04:34:57.169306+00:00,3321258,5,0.001400231825553774,33,33213
9,2905,9.0,9.0,2026-04-20T04:34:58.169306+00:00,3321258,5,0.001400231825553774,33,33213
10,2906,10.0,10.0,2026-04-20T04:34:59.169306+00:00,3321258,5,0.001400231825553774,33,33213
11,2907,11.0,11.0,2026-04-20T04:35:00.169306+00:00,3321258,5,0.001400231825553774,33,33213
12,2908,12.0,12.0,2026-04-20T04:35:01.169306+00:00,3321258,5,0.001400231825553774,33,33213
13,2909,13.0,13.0,2026-04-20T04:35:02.169306+00:00,3321258,5,0.001400231825553774,33,33213
14,2910,14.0,14.0,2026-04-20T04:35:03.169306+00:00,3018274,4,0.0012724947333334212,30,30183
15,2911,15.0,15.0,2026-04-20T04:35:04.169306+00:00,3018274,4,0.0012724947333334212,30,30183
16,2912,16.0,16.0,2026-04-20T04:35:05.169306+00:00,3018274,4,0.0012724947333334212,30,30183
17,2913,17.0,17.0,2026-04-20T04:35:06.169306+00:00,3018274,4,0.0012724947333334212,30,30183
18,2914,18.0,18.0,2026-04-20T04:35:07.169306+00:00,3018274,4,0.0012724947333334212,30,30183
19,2915,19.0,19.0,2026-04-20T04:35:08.169306+00:00,3018274,4,0.0012724947333334212,30,30183
20,2916,20.0,20.0,2026-04-20T04:35:09.169306+00:00,3018274,4,0.0012724947333334212,30,30183
21,2917,21.0,21.0,2026-04-20T04:35:10.169306+00:00,3018274,4,0.0012724947333334212,30,30183
22,2918,22.0,22.0,2026-04-20T04:35:11.169306+00:00,3018274,4,0.0012724947333334212,30,30183
23,2919,23.0,23.0,2026-04-20T04:35:12.169306+00:00,3018274,4,0.0012724947333334212,30,30183
24,2920,24.0,24.0,2026-04-20T04:35:13.169306+00:00,3018274,4,0.0012724947333334212,30,30183
25,2921,25.0,25.0,2026-04-20T04:35:14.169306+00:00,3018274,4,0.0012724947333334212,30,30183
26,2922,26.0,26.0,2026-04-20T04:35:15.169306+00:00,3018274,4,0.0012724947333334212,30,30183
27,2923,27.0,27.0,2026-04-20T04:35:16.169306+00:00,3018274,4,0.0012724947333334212,30,30183
28,2924,28.0,28.0,2026-04-20T04:35:17.169306+00:00,3018274,4,0.0012724947333334212,30,30183
29,2925,29.0,29.0,2026-04-20T04:35:18.169306+00:00,3018274,4,0.0012724947333334212,30,30183
30,2926,30.0,30.0,2026-04-20T04:35:19.169306+00:00,3018274,4,0.0012724947333334212,30,30183
31,2927,31.0,31.0,2026-04-20T04:35:20.169306+00:00,3018274,4,0.0012724947333334212,30,30183
32,2928,32.0,32.0,2026-04-20T04:35:21.169306+00:00,3018274,4,0.0012724947333334212,30,30183
33,2929,33.0,33.0,2026-04-20T04:35:22.169306+00:00,3018274,4,0.0012724947333334212,30,30183
34,2930,34.0,34.0,2026-04-20T04:35:23.169306+00:00,3018274,4,0.0012724947333334212,30,30183
35,2931,35.0,35.0,2026-04-20T04:35:24.169306+00:00,3018274,4,0.0012724947333334212,30,30183
36,2932,36.0,36.0,2026-04-20T04:35:25.169306+00:00,3018274,4,0.0012724947333334212,30,30183
37,2933,37.0,37.0,2026-04-20T04:35:26.169306+00:00,3018274,4,0.0012724947333334212,30,30183
38,2934,38.0,38.0,2026-04-20T04:35:27.169306+00:00,3018274,4,0.0012724947333334212,30,30183
39,2935,39.0,39.0,2026-04-20T04:35:28.169306+00:00,3018274,4,0.0012724947333334212,30,30183
40,2936,40.0,40.0,2026-04-20T04:35:29.169306+00:00,3018274,4,0.0012724947333334212,30,30183
